,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
PGE=,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,"(43, 0, 0.86437979)","(126, 0, 0.79011007)","(21, 0, 0.83324287)","(22, 0, 0.80095683)","(40, 0, 0.87363949)","(174, 0, 0.87514887)","(210, 0, 0.77678918)","(166, 0, 0.81005688)","(171, 0, 0.66687378)","(247, 0, 0.86818225)","(21, 0, 0.92874519)","(136, 0, 0.82186682)","(9, 0, 0.59347966)","(207, 0, 0.82970122)","(79, 0, 0.81200498)","(60, 0, 0.82939973)"
1,"(42, 0, 0.64385594)","(127, 0, 0.61789176)","(20, 0, 0.60824741)","(23, 0, 0.58946464)","(41, 0, 0.6088059)","(175, 0, 0.58112572)","(211, 0, 0.64581127)","(167, 0, 0.63982638)","(170, 0, 0.5826114)","(246, 0, 0.57486145)","(20, 0, 0.63587739)","(137, 0, 0.63400272)","(8, 0, 0.55969808)","(206, 0, 0.61341383)","(78, 0, 0.58308603)","(61, 0, 0.58364507)"
2,"(116, 0, 0.26679389)","(4, 0, 0.27235335)","(244, 0, 0.27287022)","(121, 0, 0.3171744)","(88, 0, 0.26933872)","(241, 0, 0.31194534)","(155, 0, 0.29954414)","(161, 0, 0.3037609)","(245, 0, 0.2835854)","(169, 0, 0.32271344)","(75, 0, 0.30465111)","(82, 0, 0.25611588)","(104, 0, 0.28387807)","(174, 0, 0.28114782)","(34, 0, 0.30487458)","(93, 0, 0.31643269)"
3,"(120, 0, 0.26462278)","(251, 0, 0.26944412)","(74, 0, 0.27204187)","(62, 0, 0.28768143)","(72, 0, 0.24943614)","(27, 0, 0.29697621)","(221, 0, 0.28683126)","(183, 0, 0.28272055)","(232, 0, 0.27303906)","(159, 0, 0.26806171)","(247, 0, 0.26045188)","(80, 0, 0.25595521)","(89, 0, 0.25178153)","(30, 0, 0.2680831)","(102, 0, 0.27465436)","(147, 0, 0.28304237)"
4,"(37, 0, 0.26387889)","(32, 0, 0.25144657)","(174, 0, 0.27055812)","(199, 0, 0.2811458)","(95, 0, 0.24838355)","(9, 0, 0.27035119)","(87, 0, 0.28531912)","(94, 0, 0.28170203)","(143, 0, 0.26827005)","(122, 0, 0.2605479)","(97, 0, 0.26004668)","(65, 0, 0.25454342)","(253, 0, 0.25011306)","(234, 0, 0.26255052)","(21, 0, 0.26573437)","(178, 0, 0.2634197)"
5,"(235, 0, 0.25371945)","(47, 0, 0.24795644)","(179, 0, 0.2685292)","(7, 0, 0.25996858)","(137, 0, 0.24778954)","(158, 0, 0.26764841)","(191, 0, 0.27238546)","(249, 0, 0.27725865)","(127, 0, 0.26561264)","(154, 0, 0.25449228)","(220, 0, 0.2478772)","(30, 0, 0.25371083)","(61, 0, 0.24513035)","(187, 0, 0.25577886)","(16, 0, 0.26436253)","(240, 0, 0.26301123)"
6,"(99, 0, 0.25301313)","(118, 0, 0.24213793)","(150, 0, 0.25210857)","(63, 0, 0.25552141)","(152, 0, 0.24740119)","(21, 0, 0.25871597)","(67, 0, 0.27078907)","(198, 0, 0.26807827)","(51, 0, 0.24875604)","(184, 0, 0.25008614)","(40, 0, 0.24425466)","(55, 0, 0.25112306)","(246, 0, 0.24451811)","(236, 0, 0.2517165)","(66, 0, 0.26413818)","(236, 0, 0.25745905)"
7,"(212, 0, 0.25234387)","(96, 0, 0.2409999)","(193, 0, 0.24403382)","(79, 0, 0.25143085)","(31, 0, 0.24390969)","(254, 0, 0.25227312)","(98, 0, 0.27000378)","(23, 0, 0.26614383)","(100, 0, 0.24723183)","(211, 0, 0.24890983)","(231, 0, 0.24400267)","(41, 0, 0.25052131)","(251, 0, 0.24419847)","(144, 0, 0.25159845)","(96, 0, 0.25333427)","(190, 0, 0.24697875)"
8,"(40, 0, 0.25013441)","(232, 0, 0.23958572)","(250, 0, 0.2439923)","(191, 0, 0.24864505)","(73, 0, 0.24157238)","(186, 0, 0.2490384)","(27, 0, 0.26621459)","(29, 0, 0.26261015)","(128, 0, 0.24653442)","(130, 0, 0.24174834)","(100, 0, 0.23330146)","(112, 0, 0.25017471)","(115, 0, 0.23593237)","(11, 0, 0.24203015)","(127, 0, 0.25243247)","(172, 0, 0.24519268)"
