,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
PGE=,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
0,"(43, 0, 0.86209399)","(126, 0, 0.77462228)","(21, 0, 0.82985017)","(22, 0, 0.77700232)","(40, 0, 0.87291261)","(174, 0, 0.85732596)","(210, 0, 0.75639848)","(166, 0, 0.82932596)","(170, 0, 0.40177368)","(247, 0, 0.86897836)","(21, 0, 0.93436084)","(136, 0, 0.83337544)","(8, 0, 0.38468009)","(207, 0, 0.80784454)","(79, 0, 0.77470268)","(60, 0, 0.8116614)"
1,"(138, 0, 0.76701525)","(167, 0, 0.67689084)","(235, 0, 0.74398362)","(113, 0, 0.70571272)","(194, 0, 0.77786003)","(191, 0, 0.74982734)","(11, 0, 0.67701176)","(193, 0, 0.73222709)","(171, 0, 0.37715068)","(227, 0, 0.76348723)","(171, 0, 0.82207844)","(187, 0, 0.72900544)","(9, 0, 0.38148022)","(22, 0, 0.73502382)","(150, 0, 0.70744486)","(50, 0, 0.74432121)"
2,"(12, 0, 0.76542883)","(148, 0, 0.67592179)","(238, 0, 0.73820457)","(207, 0, 0.69639053)","(214, 0, 0.7742306)","(27, 0, 0.74550204)","(198, 0, 0.67089024)","(143, 0, 0.72777487)","(99, 0, 0.36438456)","(43, 0, 0.76270993)","(4, 0, 0.82205009)","(134, 0, 0.7286454)","(232, 0, 0.3731045)","(232, 0, 0.72741199)","(165, 0, 0.70262054)","(104, 0, 0.73078787)"
3,"(76, 0, 0.76367882)","(106, 0, 0.67509135)","(114, 0, 0.73710354)","(2, 0, 0.69027676)","(177, 0, 0.77271522)","(114, 0, 0.73939303)","(103, 0, 0.66659655)","(24, 0, 0.72609304)","(68, 0, 0.35327566)","(144, 0, 0.7627054)","(114, 0, 0.82090893)","(78, 0, 0.72528309)","(227, 0, 0.35855136)","(168, 0, 0.72156657)","(204, 0, 0.69750766)","(235, 0, 0.7284152)"
4,"(58, 0, 0.7617208)","(128, 0, 0.6742339)","(250, 0, 0.73670845)","(232, 0, 0.68599041)","(238, 0, 0.77109994)","(137, 0, 0.7389633)","(220, 0, 0.66582484)","(122, 0, 0.72508426)","(241, 0, 0.34529184)","(208, 0, 0.75859125)","(50, 0, 0.82043082)","(156, 0, 0.72228142)","(163, 0, 0.35602805)","(37, 0, 0.72021849)","(21, 0, 0.69586041)","(1, 0, 0.72769274)"
5,"(213, 0, 0.76052739)","(87, 0, 0.66874888)","(204, 0, 0.73602245)","(7, 0, 0.68565331)","(255, 0, 0.76910082)","(119, 0, 0.73861246)","(134, 0, 0.66402057)","(110, 0, 0.72468402)","(21, 0, 0.34181131)","(230, 0, 0.75793419)","(65, 0, 0.81804226)","(84, 0, 0.71904029)","(49, 0, 0.35483639)","(93, 0, 0.71306417)","(1, 0, 0.69530218)","(229, 0, 0.72615649)"
6,"(242, 0, 0.75711316)","(36, 0, 0.66857507)","(91, 0, 0.73574179)","(252, 0, 0.6850988)","(152, 0, 0.76861254)","(186, 0, 0.73749519)","(156, 0, 0.66305417)","(73, 0, 0.72240522)","(40, 0, 0.3417628)","(9, 0, 0.75452297)","(204, 0, 0.81583708)","(26, 0, 0.71575348)","(93, 0, 0.35455226)","(113, 0, 0.70887172)","(241, 0, 0.69249885)","(224, 0, 0.72346968)"
7,"(185, 0, 0.75480662)","(42, 0, 0.66657301)","(4, 0, 0.73476783)","(138, 0, 0.68291751)","(241, 0, 0.76842414)","(80, 0, 0.73636069)","(108, 0, 0.66259936)","(63, 0, 0.72173673)","(255, 0, 0.33797897)","(249, 0, 0.75397167)","(211, 0, 0.81474806)","(175, 0, 0.71450538)","(230, 0, 0.35313308)","(222, 0, 0.70854031)","(40, 0, 0.69184059)","(157, 0, 0.72107409)"
8,"(63, 0, 0.7545014)","(162, 0, 0.66648165)","(1, 0, 0.73472927)","(37, 0, 0.68039231)","(79, 0, 0.76743722)","(224, 0, 0.73553341)","(225, 0, 0.66208429)","(71, 0, 0.72136243)","(221, 0, 0.33532545)","(173, 0, 0.75203882)","(140, 0, 0.81313351)","(31, 0, 0.71444205)","(168, 0, 0.34760928)","(155, 0, 0.70841857)","(65, 0, 0.69171138)","(21, 0, 0.72020626)"
