,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
PGE=,0,0,0,0,0,0,0,0,54,0,0,0,9,0,0,0
0,"(43, 0, 0.86314663)","(126, 0, 0.78998848)","(21, 0, 0.78773768)","(22, 0, 0.82492008)","(40, 0, 0.88168342)","(174, 0, 0.86636357)","(210, 0, 0.74275397)","(166, 0, 0.82384447)","(148, 0, 0.39592094)","(247, 0, 0.88508859)","(21, 0, 0.92989891)","(136, 0, 0.83700936)","(8, 0, 0.41431563)","(207, 0, 0.80263148)","(79, 0, 0.78666059)","(60, 0, 0.81738275)"
1,"(168, 0, 0.78170121)","(148, 0, 0.72328006)","(235, 0, 0.73329458)","(113, 0, 0.7533839)","(241, 0, 0.80066876)","(191, 0, 0.79858012)","(220, 0, 0.70669646)","(58, 0, 0.75461477)","(128, 0, 0.39568483)","(144, 0, 0.78478284)","(114, 0, 0.83981192)","(134, 0, 0.76551617)","(186, 0, 0.3828161)","(22, 0, 0.73265543)","(241, 0, 0.72268487)","(91, 0, 0.75391677)"
2,"(58, 0, 0.77389209)","(197, 0, 0.70207342)","(238, 0, 0.72218745)","(2, 0, 0.74672685)","(152, 0, 0.78712976)","(114, 0, 0.79013318)","(64, 0, 0.69119647)","(127, 0, 0.74187687)","(89, 0, 0.39267286)","(9, 0, 0.78128313)","(50, 0, 0.83079487)","(187, 0, 0.76256736)","(171, 0, 0.37257864)","(93, 0, 0.7270658)","(40, 0, 0.72151463)","(50, 0, 0.75360107)"
3,"(12, 0, 0.77047602)","(106, 0, 0.70183624)","(65, 0, 0.72093034)","(127, 0, 0.73962499)","(79, 0, 0.78587869)","(157, 0, 0.78843414)","(26, 0, 0.68791894)","(230, 0, 0.74073149)","(42, 0, 0.38935574)","(43, 0, 0.7808336)","(38, 0, 0.83047821)","(95, 0, 0.7569274)","(221, 0, 0.36484927)","(178, 0, 0.72199686)","(147, 0, 0.71954641)","(199, 0, 0.74989404)"
4,"(63, 0, 0.77023008)","(162, 0, 0.69619855)","(4, 0, 0.71842545)","(107, 0, 0.7384775)","(194, 0, 0.78500901)","(27, 0, 0.7822948)","(81, 0, 0.68347471)","(213, 0, 0.73892822)","(231, 0, 0.3885853)","(227, 0, 0.78072743)","(4, 0, 0.82763164)","(26, 0, 0.74740955)","(252, 0, 0.35381193)","(37, 0, 0.72142677)","(1, 0, 0.71790223)","(21, 0, 0.74593909)"
5,"(166, 0, 0.77006727)","(145, 0, 0.69603567)","(135, 0, 0.71604048)","(37, 0, 0.73683543)","(238, 0, 0.78486588)","(104, 0, 0.78050501)","(136, 0, 0.68315801)","(242, 0, 0.73850613)","(197, 0, 0.38837592)","(122, 0, 0.77875482)","(65, 0, 0.82738183)","(78, 0, 0.74660042)","(168, 0, 0.35345265)","(202, 0, 0.71613221)","(135, 0, 0.71549264)","(104, 0, 0.74591767)"
6,"(185, 0, 0.76888647)","(184, 0, 0.69601075)","(194, 0, 0.71406088)","(237, 0, 0.73404029)","(38, 0, 0.78252679)","(186, 0, 0.77932974)","(78, 0, 0.68270302)","(149, 0, 0.73813333)","(92, 0, 0.3876879)","(230, 0, 0.77872637)","(211, 0, 0.82668215)","(64, 0, 0.74492898)","(204, 0, 0.35318504)","(149, 0, 0.7146875)","(85, 0, 0.71385781)","(157, 0, 0.74190243)"
7,"(22, 0, 0.76665976)","(42, 0, 0.69325997)","(121, 0, 0.71388922)","(207, 0, 0.73338847)","(102, 0, 0.78223118)","(57, 0, 0.77815827)","(153, 0, 0.68150556)","(132, 0, 0.73760995)","(87, 0, 0.38089248)","(46, 0, 0.77704748)","(171, 0, 0.822266)","(156, 0, 0.74362471)","(222, 0, 0.35138734)","(24, 0, 0.71399709)","(94, 0, 0.71281077)","(114, 0, 0.73842855)"
8,"(155, 0, 0.76634188)","(243, 0, 0.6920985)","(255, 0, 0.71114387)","(155, 0, 0.73219122)","(255, 0, 0.77724127)","(244, 0, 0.77772215)","(134, 0, 0.67930988)","(71, 0, 0.73592012)","(170, 0, 0.37874052)","(86, 0, 0.77691682)","(204, 0, 0.81803354)","(234, 0, 0.74108658)","(238, 0, 0.34934761)","(127, 0, 0.71158328)","(165, 0, 0.71245644)","(229, 0, 0.73818898)"
