,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
PGE=,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
0,"(43, 0, 0.8626829)","(126, 0, 0.77033348)","(21, 0, 0.82375594)","(22, 0, 0.7882903)","(40, 0, 0.87462534)","(174, 0, 0.86365378)","(210, 0, 0.75160452)","(166, 0, 0.8247325)","(170, 0, 0.39538828)","(247, 0, 0.86989504)","(21, 0, 0.93505621)","(136, 0, 0.82949243)","(8, 0, 0.38062723)","(207, 0, 0.81349428)","(79, 0, 0.77281782)","(60, 0, 0.81262634)"
1,"(12, 0, 0.77267349)","(148, 0, 0.67404658)","(235, 0, 0.74556497)","(113, 0, 0.72304654)","(241, 0, 0.77651781)","(191, 0, 0.76499424)","(220, 0, 0.68207241)","(88, 0, 0.73100473)","(171, 0, 0.37493172)","(227, 0, 0.76479896)","(171, 0, 0.82253123)","(187, 0, 0.73024748)","(9, 0, 0.36863069)","(22, 0, 0.74602583)","(150, 0, 0.69949225)","(50, 0, 0.73736025)"
2,"(138, 0, 0.77176799)","(128, 0, 0.67313408)","(238, 0, 0.73642366)","(2, 0, 0.70859392)","(194, 0, 0.77512259)","(27, 0, 0.76282511)","(156, 0, 0.67685096)","(127, 0, 0.72922542)","(99, 0, 0.36417595)","(43, 0, 0.7630033)","(50, 0, 0.82226912)","(134, 0, 0.72908528)","(232, 0, 0.36266136)","(168, 0, 0.73598339)","(165, 0, 0.69922007)","(157, 0, 0.73138742)"
3,"(63, 0, 0.769208)","(36, 0, 0.67220095)","(250, 0, 0.73498048)","(37, 0, 0.702723)","(238, 0, 0.77457526)","(137, 0, 0.75664835)","(64, 0, 0.67607477)","(71, 0, 0.72660223)","(241, 0, 0.35703815)","(230, 0, 0.75985022)","(4, 0, 0.82070489)","(78, 0, 0.72384772)","(93, 0, 0.35865705)","(232, 0, 0.7341389)","(241, 0, 0.69720427)","(104, 0, 0.73023988)"
4,"(76, 0, 0.76408102)","(106, 0, 0.67139701)","(255, 0, 0.73386648)","(207, 0, 0.70212404)","(177, 0, 0.77191287)","(114, 0, 0.75654169)","(136, 0, 0.6745235)","(58, 0, 0.72595198)","(68, 0, 0.34923338)","(208, 0, 0.7589747)","(114, 0, 0.81943879)","(98, 0, 0.71748378)","(163, 0, 0.35474939)","(37, 0, 0.7248706)","(204, 0, 0.69616201)","(91, 0, 0.72311393)"
5,"(166, 0, 0.76292282)","(167, 0, 0.67020942)","(4, 0, 0.73269392)","(232, 0, 0.7013368)","(214, 0, 0.77117361)","(119, 0, 0.75194415)","(195, 0, 0.66941032)","(193, 0, 0.72568886)","(40, 0, 0.34746211)","(249, 0, 0.75781563)","(65, 0, 0.81595217)","(156, 0, 0.71745045)","(49, 0, 0.353654)","(155, 0, 0.72234348)","(40, 0, 0.69369169)","(224, 0, 0.72309985)"
6,"(213, 0, 0.76258143)","(253, 0, 0.667703)","(91, 0, 0.73088126)","(7, 0, 0.70088478)","(38, 0, 0.77110048)","(224, 0, 0.75110864)","(198, 0, 0.66725549)","(242, 0, 0.72431331)","(177, 0, 0.34238648)","(144, 0, 0.75751857)","(135, 0, 0.81526286)","(84, 0, 0.71634109)","(168, 0, 0.34923169)","(178, 0, 0.71984424)","(1, 0, 0.69204329)","(137, 0, 0.72104814)"
7,"(58, 0, 0.76144933)","(162, 0, 0.66462725)","(204, 0, 0.72908674)","(149, 0, 0.69463208)","(255, 0, 0.77064143)","(186, 0, 0.75068646)","(187, 0, 0.66688893)","(122, 0, 0.7233018)","(21, 0, 0.34087443)","(9, 0, 0.75751332)","(211, 0, 0.81496224)","(31, 0, 0.71633565)","(63, 0, 0.34651385)","(93, 0, 0.71821869)","(65, 0, 0.69145551)","(1, 0, 0.72066001)"
8,"(237, 0, 0.76066774)","(3, 0, 0.66359082)","(50, 0, 0.72798696)","(127, 0, 0.69395772)","(79, 0, 0.77042239)","(201, 0, 0.74775662)","(78, 0, 0.66488344)","(76, 0, 0.72191249)","(191, 0, 0.33917901)","(24, 0, 0.75587803)","(140, 0, 0.81245749)","(175, 0, 0.71412508)","(227, 0, 0.34605952)","(202, 0, 0.71782587)","(221, 0, 0.69117423)","(229, 0, 0.72063133)"
