,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
PGE=,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,"(43, 0, 0.85480304)","(126, 0, 0.80724385)","(21, 0, 0.82515567)","(22, 0, 0.76379255)","(40, 0, 0.86093309)","(174, 0, 0.8782863)","(210, 0, 0.74453518)","(166, 0, 0.81898978)","(170, 0, 0.62245778)","(247, 0, 0.86630857)","(21, 0, 0.92982902)","(136, 0, 0.83712224)","(9, 0, 0.63174125)","(207, 0, 0.79981545)","(79, 0, 0.7846176)","(60, 0, 0.80322071)"
1,"(42, 0, 0.64535401)","(127, 0, 0.61945024)","(20, 0, 0.60943375)","(23, 0, 0.61247338)","(41, 0, 0.6232029)","(175, 0, 0.64139789)","(211, 0, 0.6318073)","(167, 0, 0.62654008)","(171, 0, 0.59649097)","(246, 0, 0.62571662)","(20, 0, 0.6221933)","(137, 0, 0.6158389)","(8, 0, 0.60155926)","(206, 0, 0.62252611)","(78, 0, 0.61983896)","(61, 0, 0.60510618)"
2,"(169, 0, 0.23739933)","(216, 0, 0.21590741)","(224, 0, 0.23541129)","(148, 0, 0.22978548)","(170, 0, 0.25858045)","(44, 0, 0.26586565)","(80, 0, 0.24901012)","(36, 0, 0.24488863)","(41, 0, 0.21716439)","(116, 0, 0.24614964)","(168, 0, 0.2113559)","(10, 0, 0.24450197)","(138, 0, 0.22977553)","(241, 0, 0.23105245)","(205, 0, 0.25159913)","(191, 0, 0.25270162)"
3,"(168, 0, 0.23663056)","(252, 0, 0.21360034)","(3, 0, 0.2272231)","(149, 0, 0.22323701)","(221, 0, 0.18731426)","(45, 0, 0.23165149)","(81, 0, 0.24509236)","(147, 0, 0.22462381)","(40, 0, 0.20457773)","(117, 0, 0.23867977)","(224, 0, 0.20301332)","(125, 0, 0.22141812)","(139, 0, 0.19880331)","(76, 0, 0.2281102)","(204, 0, 0.22468451)","(52, 0, 0.23466946)"
4,"(30, 0, 0.19785916)","(65, 0, 0.21048097)","(150, 0, 0.22208535)","(41, 0, 0.20695847)","(171, 0, 0.18677537)","(91, 0, 0.23038015)","(231, 0, 0.21499591)","(152, 0, 0.22009875)","(95, 0, 0.17761334)","(201, 0, 0.20800546)","(150, 0, 0.20229002)","(131, 0, 0.20972426)","(40, 0, 0.19825878)","(77, 0, 0.22533968)","(100, 0, 0.2125923)","(190, 0, 0.23303338)"
5,"(24, 0, 0.1961838)","(253, 0, 0.20787925)","(151, 0, 0.20514337)","(40, 0, 0.20230925)","(180, 0, 0.17560708)","(145, 0, 0.20807109)","(167, 0, 0.2133127)","(1, 0, 0.20998205)","(152, 0, 0.17715363)","(2, 0, 0.20719429)","(151, 0, 0.19368521)","(17, 0, 0.20765492)","(175, 0, 0.18919525)","(240, 0, 0.19816766)","(82, 0, 0.2072218)","(201, 0, 0.220062)"
6,"(222, 0, 0.19183363)","(91, 0, 0.19630555)","(43, 0, 0.20465289)","(45, 0, 0.19977459)","(93, 0, 0.17439645)","(165, 0, 0.20490645)","(225, 0, 0.20262293)","(153, 0, 0.20524941)","(144, 0, 0.17523388)","(225, 0, 0.19902662)","(241, 0, 0.19126889)","(11, 0, 0.20626624)","(174, 0, 0.1785025)","(58, 0, 0.18651284)","(113, 0, 0.20266592)","(113, 0, 0.19340041)"
7,"(16, 0, 0.190694)","(186, 0, 0.19599439)","(197, 0, 0.1969026)","(227, 0, 0.19048413)","(94, 0, 0.17432575)","(156, 0, 0.1976611)","(36, 0, 0.19708577)","(37, 0, 0.20312711)","(223, 0, 0.17143051)","(200, 0, 0.19448611)","(178, 0, 0.18315524)","(51, 0, 0.18751217)","(50, 0, 0.17533538)","(196, 0, 0.18316934)","(233, 0, 0.19731442)","(115, 0, 0.19228213)"
8,"(240, 0, 0.18819811)","(139, 0, 0.19570258)","(178, 0, 0.19125139)","(132, 0, 0.18748268)","(222, 0, 0.17210882)","(167, 0, 0.19203988)","(2, 0, 0.19675133)","(114, 0, 0.20018983)","(128, 0, 0.17128095)","(81, 0, 0.19143889)","(62, 0, 0.18052312)","(20, 0, 0.1869165)","(46, 0, 0.17108002)","(31, 0, 0.18225695)","(112, 0, 0.18260982)","(121, 0, 0.18968844)"
