,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
PGE=,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,"(43, 0, 0.85582357)","(126, 0, 0.80687357)","(21, 0, 0.82837826)","(22, 0, 0.76745233)","(40, 0, 0.85247107)","(174, 0, 0.87764193)","(210, 0, 0.74211274)","(166, 0, 0.82155762)","(170, 0, 0.61672528)","(247, 0, 0.86691309)","(21, 0, 0.92852845)","(136, 0, 0.84136168)","(9, 0, 0.63063853)","(207, 0, 0.80291385)","(79, 0, 0.77681733)","(60, 0, 0.80318623)"
1,"(42, 0, 0.64102981)","(127, 0, 0.62442033)","(20, 0, 0.60859812)","(23, 0, 0.61294611)","(41, 0, 0.61713142)","(175, 0, 0.64600712)","(211, 0, 0.63006934)","(167, 0, 0.62740348)","(171, 0, 0.58991905)","(246, 0, 0.63233778)","(20, 0, 0.62376467)","(137, 0, 0.60971743)","(8, 0, 0.60202138)","(206, 0, 0.62739247)","(78, 0, 0.61348722)","(61, 0, 0.61629739)"
2,"(169, 0, 0.24493985)","(216, 0, 0.23240491)","(224, 0, 0.24081019)","(149, 0, 0.22934666)","(170, 0, 0.25750613)","(44, 0, 0.26982684)","(81, 0, 0.24090235)","(36, 0, 0.2535333)","(40, 0, 0.21900535)","(116, 0, 0.24171295)","(168, 0, 0.218936)","(10, 0, 0.24488808)","(138, 0, 0.2287004)","(77, 0, 0.24801143)","(205, 0, 0.25396842)","(191, 0, 0.26423056)"
3,"(168, 0, 0.22776682)","(139, 0, 0.21900492)","(150, 0, 0.22982201)","(148, 0, 0.22214681)","(93, 0, 0.19045923)","(45, 0, 0.22603151)","(80, 0, 0.23778236)","(152, 0, 0.23044022)","(41, 0, 0.21079294)","(117, 0, 0.23383926)","(150, 0, 0.20184918)","(125, 0, 0.21516218)","(139, 0, 0.20224492)","(76, 0, 0.24484459)","(204, 0, 0.22310958)","(190, 0, 0.2296541)"
4,"(222, 0, 0.20257106)","(253, 0, 0.21821739)","(3, 0, 0.22491911)","(40, 0, 0.20844322)","(221, 0, 0.18360857)","(91, 0, 0.225528)","(231, 0, 0.23509206)","(147, 0, 0.21394493)","(219, 0, 0.19475913)","(201, 0, 0.2178958)","(224, 0, 0.20063129)","(17, 0, 0.2150074)","(175, 0, 0.19341168)","(241, 0, 0.23253735)","(113, 0, 0.21683728)","(52, 0, 0.22255029)"
5,"(30, 0, 0.2023117)","(65, 0, 0.21735526)","(43, 0, 0.20619937)","(45, 0, 0.20309837)","(26, 0, 0.17891483)","(145, 0, 0.21964525)","(36, 0, 0.20938635)","(1, 0, 0.21162651)","(162, 0, 0.19024406)","(225, 0, 0.20745146)","(241, 0, 0.20037645)","(131, 0, 0.20624643)","(40, 0, 0.18248863)","(240, 0, 0.19742905)","(82, 0, 0.20641772)","(201, 0, 0.21089798)"
6,"(16, 0, 0.1934609)","(252, 0, 0.20615265)","(178, 0, 0.19970827)","(237, 0, 0.19877708)","(23, 0, 0.17649104)","(156, 0, 0.21761453)","(225, 0, 0.20571306)","(153, 0, 0.21018355)","(132, 0, 0.18646444)","(2, 0, 0.20498429)","(151, 0, 0.18947092)","(11, 0, 0.20091612)","(50, 0, 0.17763599)","(58, 0, 0.18911442)","(100, 0, 0.20504893)","(158, 0, 0.20338487)"
7,"(103, 0, 0.18880346)","(197, 0, 0.19426279)","(197, 0, 0.19585396)","(227, 0, 0.19598292)","(171, 0, 0.17606562)","(165, 0, 0.20736669)","(233, 0, 0.19922262)","(58, 0, 0.19918178)","(249, 0, 0.18127425)","(186, 0, 0.19666713)","(43, 0, 0.18856018)","(20, 0, 0.19793184)","(46, 0, 0.17580977)","(105, 0, 0.18660805)","(233, 0, 0.19991977)","(204, 0, 0.1917913)"
8,"(61, 0, 0.18834547)","(64, 0, 0.19380929)","(237, 0, 0.1936332)","(177, 0, 0.19472194)","(101, 0, 0.1727258)","(167, 0, 0.19978715)","(167, 0, 0.19567805)","(114, 0, 0.19479441)","(36, 0, 0.17968427)","(200, 0, 0.19496735)","(51, 0, 0.18511852)","(197, 0, 0.19745781)","(204, 0, 0.17536403)","(104, 0, 0.18644327)","(185, 0, 0.1954541)","(246, 0, 0.18966502)"
