,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
PGE=,0,0,0,0,0,1,0,0,1,0,0,0,96,0,0,0
0,"(43, 0, 0.88067186)","(126, 0, 0.82975446)","(21, 0, 0.80693524)","(22, 0, 0.79452306)","(40, 0, 0.92025394)","(109, 0, 0.82973609)","(210, 0, 0.76211897)","(166, 0, 0.79620637)","(136, 0, 0.62124264)","(247, 0, 0.89375152)","(21, 0, 0.94559699)","(136, 0, 0.77690579)","(66, 0, 0.63014859)","(207, 0, 0.79240312)","(79, 0, 0.77604777)","(60, 0, 0.89887646)"
1,"(187, 0, 0.84151091)","(3, 0, 0.82819921)","(36, 0, 0.74115272)","(39, 0, 0.69873508)","(229, 0, 0.85160256)","(174, 0, 0.79870132)","(34, 0, 0.7348867)","(43, 0, 0.79473358)","(171, 0, 0.61794344)","(187, 0, 0.86409277)","(89, 0, 0.87040008)","(103, 0, 0.74964983)","(14, 0, 0.62044837)","(158, 0, 0.72304416)","(97, 0, 0.74181491)","(162, 0, 0.87320902)"
2,"(198, 0, 0.83983458)","(77, 0, 0.80706541)","(214, 0, 0.73197482)","(103, 0, 0.68430779)","(4, 0, 0.84704683)","(15, 0, 0.77809084)","(227, 0, 0.72634601)","(151, 0, 0.78092897)","(150, 0, 0.60116298)","(122, 0, 0.86397508)","(36, 0, 0.85519977)","(149, 0, 0.74169906)","(131, 0, 0.6122206)","(83, 0, 0.71572542)","(224, 0, 0.7172746)","(204, 0, 0.84575799)"
3,"(7, 0, 0.8212916)","(142, 0, 0.80666869)","(118, 0, 0.72910502)","(134, 0, 0.67199976)","(21, 0, 0.84389873)","(162, 0, 0.77663091)","(175, 0, 0.72567977)","(136, 0, 0.7779769)","(53, 0, 0.60069034)","(198, 0, 0.85508675)","(68, 0, 0.85117613)","(198, 0, 0.73600395)","(237, 0, 0.60453046)","(95, 0, 0.71422645)","(142, 0, 0.71399224)","(112, 0, 0.83460275)"
4,"(155, 0, 0.82123881)","(243, 0, 0.80658956)","(100, 0, 0.72318664)","(69, 0, 0.66448928)","(233, 0, 0.84210488)","(97, 0, 0.77348276)","(95, 0, 0.72394722)","(138, 0, 0.76291561)","(102, 0, 0.59420233)","(202, 0, 0.85033954)","(229, 0, 0.8504798)","(183, 0, 0.72705881)","(98, 0, 0.60090794)","(178, 0, 0.71197728)","(238, 0, 0.71258295)","(65, 0, 0.83122528)"
5,"(9, 0, 0.82057651)","(238, 0, 0.80514937)","(119, 0, 0.7208516)","(234, 0, 0.66016485)","(148, 0, 0.83363908)","(140, 0, 0.76334194)","(225, 0, 0.71732275)","(217, 0, 0.76199014)","(147, 0, 0.59384767)","(183, 0, 0.85032816)","(100, 0, 0.84652354)","(138, 0, 0.72160348)","(207, 0, 0.59673687)","(195, 0, 0.70808649)","(172, 0, 0.7013595)","(33, 0, 0.82977079)"
6,"(39, 0, 0.82010775)","(28, 0, 0.8036628)","(230, 0, 0.7185868)","(215, 0, 0.65850884)","(85, 0, 0.82735277)","(80, 0, 0.76204795)","(110, 0, 0.71014776)","(39, 0, 0.75906121)","(135, 0, 0.59165381)","(251, 0, 0.8489564)","(27, 0, 0.84645091)","(9, 0, 0.7214516)","(225, 0, 0.5894051)","(14, 0, 0.70614303)","(112, 0, 0.69508312)","(209, 0, 0.8297497)"
7,"(120, 0, 0.81798028)","(15, 0, 0.80278816)","(135, 0, 0.7125239)","(71, 0, 0.65766049)","(36, 0, 0.82483269)","(1, 0, 0.75821119)","(161, 0, 0.70946809)","(107, 0, 0.7583239)","(176, 0, 0.59106446)","(149, 0, 0.83999761)","(212, 0, 0.83971505)","(75, 0, 0.71947959)","(175, 0, 0.5868684)","(175, 0, 0.70571836)","(47, 0, 0.69427655)","(253, 0, 0.82549242)"
8,"(183, 0, 0.8059239)","(172, 0, 0.80157191)","(200, 0, 0.7090698)","(58, 0, 0.65602851)","(74, 0, 0.82331095)","(3, 0, 0.7581842)","(19, 0, 0.70843819)","(168, 0, 0.75556919)","(235, 0, 0.58527385)","(11, 0, 0.83880204)","(40, 0, 0.83382893)","(200, 0, 0.7184272)","(110, 0, 0.58275337)","(0, 0, 0.70517145)","(223, 0, 0.68839926)","(172, 0, 0.82487111)"
