,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
PGE=,47,10,14,202,7,188,233,10,46,9,0,10,141,12,29,3
0,"(133, 0, 0.93668886)","(172, 0, 0.9093567)","(36, 0, 0.9258702)","(49, 0, 0.95279809)","(233, 0, 0.90421577)","(19, 0, 0.91962478)","(223, 0, 0.94402562)","(137, 0, 0.87682554)","(121, 0, 0.91505726)","(75, 0, 0.92208618)","(21, 0, 0.9600911)","(142, 0, 0.96003889)","(240, 0, 0.8953105)","(108, 0, 0.92651782)","(24, 0, 0.91922913)","(67, 0, 0.90602074)"
1,"(212, 0, 0.9330654)","(10, 0, 0.90879844)","(131, 0, 0.92161751)","(61, 0, 0.94326558)","(74, 0, 0.90385905)","(104, 0, 0.90230708)","(155, 0, 0.9391416)","(5, 0, 0.87054915)","(106, 0, 0.90245295)","(219, 0, 0.91982428)","(68, 0, 0.92340941)","(212, 0, 0.94474136)","(252, 0, 0.89455573)","(218, 0, 0.91233778)","(66, 0, 0.88016021)","(13, 0, 0.89828089)"
2,"(27, 0, 0.92171712)","(207, 0, 0.90403264)","(224, 0, 0.91922347)","(58, 0, 0.92984124)","(55, 0, 0.89933059)","(241, 0, 0.88958265)","(250, 0, 0.93600715)","(163, 0, 0.86944128)","(8, 0, 0.89206145)","(118, 0, 0.91982428)","(165, 0, 0.91634588)","(172, 0, 0.93617823)","(32, 0, 0.88734536)","(190, 0, 0.90872424)","(145, 0, 0.87620859)","(135, 0, 0.89297697)"
3,"(138, 0, 0.91778874)","(18, 0, 0.89361418)","(207, 0, 0.91583045)","(30, 0, 0.92872249)","(116, 0, 0.89603696)","(150, 0, 0.87748204)","(199, 0, 0.93365958)","(69, 0, 0.86919118)","(248, 0, 0.89139797)","(217, 0, 0.918529)","(184, 0, 0.91611925)","(243, 0, 0.91027199)","(66, 0, 0.86471697)","(222, 0, 0.90545443)","(30, 0, 0.87427732)","(60, 0, 0.89217728)"
4,"(53, 0, 0.91674891)","(100, 0, 0.89301584)","(6, 0, 0.91441489)","(28, 0, 0.92689351)","(4, 0, 0.88987507)","(33, 0, 0.87590055)","(198, 0, 0.92875774)","(125, 0, 0.86868125)","(91, 0, 0.88935173)","(88, 0, 0.91800528)","(38, 0, 0.91267129)","(11, 0, 0.90927274)","(227, 0, 0.86386864)","(143, 0, 0.89910605)","(200, 0, 0.87130086)","(39, 0, 0.8909237)"
5,"(57, 0, 0.91543551)","(30, 0, 0.88900242)","(1, 0, 0.91014398)","(20, 0, 0.92675051)","(213, 0, 0.88366944)","(95, 0, 0.87495307)","(201, 0, 0.92822705)","(105, 0, 0.8656168)","(186, 0, 0.88721331)","(90, 0, 0.91671386)","(100, 0, 0.90822874)","(204, 0, 0.90124445)","(44, 0, 0.86293581)","(125, 0, 0.89892782)","(58, 0, 0.87108071)","(189, 0, 0.8885306)"
6,"(216, 0, 0.91452061)","(77, 0, 0.8885164)","(135, 0, 0.90982772)","(82, 0, 0.92607246)","(199, 0, 0.88241132)","(248, 0, 0.87088083)","(27, 0, 0.92469047)","(149, 0, 0.86496936)","(100, 0, 0.88465822)","(200, 0, 0.91428613)","(27, 0, 0.90747913)","(50, 0, 0.90017463)","(188, 0, 0.86033642)","(76, 0, 0.89689613)","(191, 0, 0.87063245)","(1, 0, 0.8821906)"
7,"(66, 0, 0.91254176)","(128, 0, 0.88654486)","(148, 0, 0.90680145)","(37, 0, 0.92544313)","(40, 0, 0.88012787)","(123, 0, 0.86845651)","(50, 0, 0.92392351)","(4, 0, 0.863802)","(68, 0, 0.879902)","(163, 0, 0.91306488)","(106, 0, 0.90269234)","(255, 0, 0.89661667)","(238, 0, 0.8601139)","(43, 0, 0.89439122)","(50, 0, 0.8689609)","(74, 0, 0.87409086)"
8,"(180, 0, 0.91098284)","(191, 0, 0.88515642)","(202, 0, 0.90580179)","(81, 0, 0.92318971)","(137, 0, 0.87854812)","(211, 0, 0.86515152)","(73, 0, 0.91986155)","(44, 0, 0.8593651)","(89, 0, 0.87328997)","(58, 0, 0.90810248)","(70, 0, 0.90206962)","(206, 0, 0.89661667)","(18, 0, 0.85794098)","(2, 0, 0.8907652)","(153, 0, 0.86892033)","(238, 0, 0.86896501)"
