,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
PGE=,0,0,0,0,0,1,0,3,16,0,0,0,126,0,0,0
0,"(43, 0, 0.86790453)","(126, 0, 0.82069186)","(21, 0, 0.81425361)","(22, 0, 0.80148743)","(40, 0, 0.91147499)","(109, 0, 0.84261013)","(210, 0, 0.72890631)","(43, 0, 0.7836241)","(38, 0, 0.62650662)","(247, 0, 0.88554371)","(21, 0, 0.94475247)","(136, 0, 0.78917693)","(66, 0, 0.66805512)","(207, 0, 0.79783461)","(79, 0, 0.76336012)","(60, 0, 0.90114291)"
1,"(198, 0, 0.8403273)","(3, 0, 0.8185235)","(36, 0, 0.7782995)","(103, 0, 0.7076144)","(229, 0, 0.8537873)","(174, 0, 0.80654426)","(34, 0, 0.71547019)","(136, 0, 0.77103144)","(147, 0, 0.62351252)","(198, 0, 0.85596467)","(27, 0, 0.88106664)","(149, 0, 0.74361483)","(131, 0, 0.66430812)","(83, 0, 0.74157152)","(97, 0, 0.7408523)","(162, 0, 0.8606041)"
2,"(39, 0, 0.83795026)","(238, 0, 0.79777506)","(214, 0, 0.7613284)","(39, 0, 0.69559246)","(4, 0, 0.83794485)","(3, 0, 0.80279608)","(225, 0, 0.71157719)","(138, 0, 0.76447039)","(150, 0, 0.6121057)","(187, 0, 0.852318)","(36, 0, 0.88042457)","(198, 0, 0.7397035)","(14, 0, 0.6545501)","(113, 0, 0.7324678)","(142, 0, 0.73258196)","(204, 0, 0.8386137)"
3,"(187, 0, 0.83206152)","(243, 0, 0.79313434)","(135, 0, 0.75292098)","(69, 0, 0.67094427)","(25, 0, 0.82865489)","(15, 0, 0.79759893)","(227, 0, 0.70843614)","(166, 0, 0.7643609)","(53, 0, 0.61015311)","(122, 0, 0.84439773)","(89, 0, 0.87855034)","(134, 0, 0.73279578)","(175, 0, 0.65198254)","(158, 0, 0.72903107)","(172, 0, 0.71795716)","(209, 0, 0.82089198)"
4,"(7, 0, 0.82341897)","(142, 0, 0.79101685)","(119, 0, 0.7432895)","(170, 0, 0.66763475)","(148, 0, 0.82157334)","(28, 0, 0.79718092)","(95, 0, 0.70701049)","(54, 0, 0.75778784)","(102, 0, 0.60917162)","(11, 0, 0.8391764)","(68, 0, 0.87649096)","(9, 0, 0.73120224)","(237, 0, 0.6422448)","(95, 0, 0.72902238)","(238, 0, 0.71357889)","(33, 0, 0.82076083)"
5,"(120, 0, 0.82080777)","(60, 0, 0.7894741)","(89, 0, 0.7315752)","(196, 0, 0.6645337)","(123, 0, 0.81936096)","(142, 0, 0.79206536)","(175, 0, 0.70583266)","(151, 0, 0.75567151)","(12, 0, 0.60754928)","(202, 0, 0.83909327)","(229, 0, 0.87397182)","(103, 0, 0.7279965)","(98, 0, 0.62708973)","(178, 0, 0.72307499)","(179, 0, 0.70976631)","(65, 0, 0.81975099)"
6,"(155, 0, 0.81025907)","(77, 0, 0.78709991)","(200, 0, 0.72793232)","(234, 0, 0.65943318)","(87, 0, 0.81867287)","(140, 0, 0.78901791)","(110, 0, 0.70080024)","(52, 0, 0.75382813)","(136, 0, 0.60687949)","(251, 0, 0.83725204)","(100, 0, 0.86044273)","(43, 0, 0.72229479)","(51, 0, 0.61832229)","(254, 0, 0.72196391)","(33, 0, 0.70916542)","(112, 0, 0.81513153)"
7,"(9, 0, 0.80900894)","(172, 0, 0.78652577)","(100, 0, 0.72674547)","(107, 0, 0.65932476)","(21, 0, 0.81847874)","(97, 0, 0.78028471)","(131, 0, 0.6990273)","(107, 0, 0.74146351)","(235, 0, 0.60531705)","(183, 0, 0.83659547)","(165, 0, 0.85641512)","(164, 0, 0.72063739)","(207, 0, 0.61796869)","(0, 0, 0.71970952)","(224, 0, 0.70738097)","(253, 0, 0.81427995)"
8,"(90, 0, 0.8078458)","(15, 0, 0.77720877)","(202, 0, 0.71978755)","(139, 0, 0.65709292)","(233, 0, 0.81840728)","(162, 0, 0.77885685)","(19, 0, 0.69206121)","(217, 0, 0.74094716)","(197, 0, 0.60469105)","(90, 0, 0.83406135)","(212, 0, 0.85191567)","(183, 0, 0.71520859)","(110, 0, 0.61662531)","(61, 0, 0.71766663)","(47, 0, 0.69770783)","(211, 0, 0.810772)"
