,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
PGE=,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,"(43, 0, 0.85099624)","(126, 0, 0.80552071)","(21, 0, 0.81259489)","(22, 0, 0.79026737)","(40, 0, 0.89614203)","(174, 0, 0.86665069)","(210, 0, 0.74378783)","(166, 0, 0.81040706)","(171, 0, 0.42226562)","(247, 0, 0.8944566)","(21, 0, 0.94202905)","(136, 0, 0.82257139)","(8, 0, 0.41707886)","(207, 0, 0.79210871)","(79, 0, 0.74638578)","(60, 0, 0.81398496)"
1,"(9, 0, 0.74632878)","(28, 0, 0.72425698)","(57, 0, 0.7264485)","(43, 0, 0.69711556)","(139, 0, 0.79030184)","(130, 0, 0.78550685)","(208, 0, 0.66880825)","(138, 0, 0.7297413)","(106, 0, 0.40785152)","(202, 0, 0.79554809)","(36, 0, 0.84211288)","(134, 0, 0.73418671)","(9, 0, 0.39841519)","(193, 0, 0.7265101)","(62, 0, 0.64502914)","(189, 0, 0.73308816)"
2,"(5, 0, 0.73839341)","(80, 0, 0.72120127)","(36, 0, 0.70994549)","(103, 0, 0.69687426)","(25, 0, 0.78967028)","(147, 0, 0.77935478)","(254, 0, 0.66511069)","(22, 0, 0.72590743)","(68, 0, 0.40730882)","(54, 0, 0.79504897)","(25, 0, 0.8211121)","(101, 0, 0.72914196)","(136, 0, 0.37014425)","(225, 0, 0.72261276)","(15, 0, 0.64464819)","(16, 0, 0.73154439)"
3,"(39, 0, 0.73521044)","(145, 0, 0.72108751)","(212, 0, 0.70924816)","(39, 0, 0.69179278)","(100, 0, 0.78762047)","(128, 0, 0.77571158)","(240, 0, 0.66194397)","(155, 0, 0.71971454)","(169, 0, 0.40568619)","(217, 0, 0.79027021)","(89, 0, 0.8182122)","(71, 0, 0.72599577)","(39, 0, 0.36495564)","(110, 0, 0.71924151)","(28, 0, 0.63872974)","(77, 0, 0.71773395)"
4,"(22, 0, 0.73494944)","(255, 0, 0.72083945)","(40, 0, 0.7002936)","(181, 0, 0.68271524)","(6, 0, 0.7865243)","(13, 0, 0.7692726)","(220, 0, 0.65772251)","(234, 0, 0.71864674)","(70, 0, 0.39892318)","(251, 0, 0.78887036)","(57, 0, 0.81761595)","(170, 0, 0.72403336)","(196, 0, 0.35217582)","(227, 0, 0.71744441)","(109, 0, 0.6386677)","(157, 0, 0.71514227)"
5,"(7, 0, 0.73468344)","(177, 0, 0.72016406)","(25, 0, 0.69945281)","(26, 0, 0.68056141)","(21, 0, 0.7861462)","(159, 0, 0.76746198)","(63, 0, 0.65385661)","(26, 0, 0.71837721)","(152, 0, 0.39535954)","(198, 0, 0.78429056)","(182, 0, 0.81623209)","(69, 0, 0.72136255)","(166, 0, 0.3508002)","(195, 0, 0.71714068)","(97, 0, 0.63593039)","(112, 0, 0.71320548)"
6,"(107, 0, 0.73010287)","(191, 0, 0.71940509)","(55, 0, 0.69937017)","(249, 0, 0.68036941)","(233, 0, 0.78534381)","(162, 0, 0.76319846)","(178, 0, 0.65135859)","(86, 0, 0.71736666)","(212, 0, 0.39261216)","(58, 0, 0.7797276)","(59, 0, 0.81606796)","(164, 0, 0.72100919)","(200, 0, 0.3502767)","(242, 0, 0.71508526)","(142, 0, 0.63440791)","(48, 0, 0.71183382)"
7,"(26, 0, 0.72855306)","(224, 0, 0.71332505)","(152, 0, 0.69734441)","(215, 0, 0.67990067)","(38, 0, 0.78338199)","(160, 0, 0.76060442)","(131, 0, 0.65117715)","(215, 0, 0.71545483)","(229, 0, 0.39160695)","(7, 0, 0.77916215)","(27, 0, 0.81601741)","(166, 0, 0.71502775)","(228, 0, 0.34363647)","(34, 0, 0.71300071)","(3, 0, 0.63308502)","(1, 0, 0.70936262)"
8,"(170, 0, 0.72367084)","(189, 0, 0.71275683)","(8, 0, 0.69692771)","(138, 0, 0.67922958)","(4, 0, 0.78314096)","(18, 0, 0.75781434)","(83, 0, 0.65040772)","(136, 0, 0.71513177)","(233, 0, 0.38926292)","(118, 0, 0.77839029)","(229, 0, 0.81409557)","(181, 0, 0.71378475)","(11, 0, 0.34299511)","(240, 0, 0.71173707)","(99, 0, 0.63171785)","(145, 0, 0.70917529)"
