,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
PGE=,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,"(43, 0, 0.85748378)","(126, 0, 0.81080818)","(21, 0, 0.81703089)","(22, 0, 0.78457572)","(40, 0, 0.89898696)","(174, 0, 0.86050318)","(210, 0, 0.7327282)","(166, 0, 0.81610078)","(171, 0, 0.43750683)","(247, 0, 0.8912887)","(21, 0, 0.93800589)","(136, 0, 0.82409653)","(8, 0, 0.39603283)","(207, 0, 0.79964089)","(79, 0, 0.74869861)","(60, 0, 0.80558275)"
1,"(22, 0, 0.75183113)","(28, 0, 0.72183471)","(36, 0, 0.72227397)","(39, 0, 0.68865949)","(233, 0, 0.79860173)","(130, 0, 0.77165918)","(254, 0, 0.66145386)","(138, 0, 0.75014072)","(169, 0, 0.40817216)","(202, 0, 0.78712049)","(36, 0, 0.83104245)","(134, 0, 0.73472324)","(9, 0, 0.39358821)","(193, 0, 0.72948712)","(109, 0, 0.65286241)","(16, 0, 0.73091365)"
2,"(5, 0, 0.74982423)","(191, 0, 0.71891366)","(57, 0, 0.71853774)","(43, 0, 0.68652066)","(25, 0, 0.79552773)","(147, 0, 0.76806964)","(63, 0, 0.65004953)","(22, 0, 0.73716332)","(106, 0, 0.40483236)","(198, 0, 0.78668429)","(57, 0, 0.81751014)","(101, 0, 0.72373403)","(136, 0, 0.37483262)","(225, 0, 0.72870203)","(62, 0, 0.64879893)","(189, 0, 0.71677611)"
3,"(39, 0, 0.74670931)","(80, 0, 0.718732)","(212, 0, 0.71240572)","(215, 0, 0.68484172)","(21, 0, 0.79033975)","(128, 0, 0.76213786)","(208, 0, 0.64916445)","(151, 0, 0.73360409)","(70, 0, 0.40331003)","(54, 0, 0.78462588)","(182, 0, 0.81494781)","(170, 0, 0.72283894)","(39, 0, 0.36003004)","(110, 0, 0.72791379)","(28, 0, 0.64862855)","(157, 0, 0.70771675)"
4,"(9, 0, 0.74502108)","(50, 0, 0.71675468)","(25, 0, 0.7103998)","(26, 0, 0.67954204)","(38, 0, 0.79024318)","(162, 0, 0.75535871)","(158, 0, 0.64449401)","(26, 0, 0.73334564)","(38, 0, 0.39857352)","(251, 0, 0.78267034)","(25, 0, 0.81266187)","(166, 0, 0.72154111)","(200, 0, 0.35937319)","(195, 0, 0.72484548)","(99, 0, 0.64627846)","(145, 0, 0.70641828)"
5,"(26, 0, 0.74372013)","(255, 0, 0.71509487)","(40, 0, 0.70872895)","(103, 0, 0.67687171)","(36, 0, 0.78915268)","(159, 0, 0.75459363)","(240, 0, 0.64259925)","(170, 0, 0.73151996)","(10, 0, 0.39808881)","(217, 0, 0.78200599)","(89, 0, 0.81255807)","(164, 0, 0.71940837)","(166, 0, 0.34924536)","(227, 0, 0.72044497)","(15, 0, 0.6448388)","(77, 0, 0.70474524)"
6,"(7, 0, 0.74138441)","(145, 0, 0.71425975)","(55, 0, 0.70501641)","(249, 0, 0.67496606)","(100, 0, 0.78833701)","(160, 0, 0.75243409)","(220, 0, 0.64170749)","(234, 0, 0.73147632)","(68, 0, 0.39625748)","(219, 0, 0.77593045)","(59, 0, 0.81128564)","(69, 0, 0.71858232)","(228, 0, 0.34724799)","(254, 0, 0.71658097)","(142, 0, 0.63941193)","(172, 0, 0.70372527)"
7,"(107, 0, 0.73684431)","(15, 0, 0.71289987)","(8, 0, 0.70423522)","(181, 0, 0.67156899)","(139, 0, 0.786834)","(13, 0, 0.75196594)","(17, 0, 0.64138391)","(136, 0, 0.73062083)","(133, 0, 0.39564351)","(7, 0, 0.77020642)","(27, 0, 0.80982536)","(71, 0, 0.71830427)","(196, 0, 0.34649419)","(240, 0, 0.71592425)","(3, 0, 0.63926105)","(48, 0, 0.7028543)"
8,"(198, 0, 0.73533202)","(82, 0, 0.71086025)","(169, 0, 0.7023497)","(134, 0, 0.67144837)","(121, 0, 0.7865893)","(18, 0, 0.74864021)","(19, 0, 0.6388631)","(245, 0, 0.72919845)","(233, 0, 0.39528994)","(86, 0, 0.77003389)","(152, 0, 0.8053326)","(132, 0, 0.71593158)","(90, 0, 0.34570351)","(14, 0, 0.71501568)","(97, 0, 0.63772903)","(30, 0, 0.7025604)"
