,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
PGE=,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,"(43, 0, 0.8669845)","(126, 0, 0.80647353)","(21, 0, 0.81948818)","(22, 0, 0.78391235)","(40, 0, 0.89896499)","(174, 0, 0.87180865)","(210, 0, 0.73458195)","(166, 0, 0.80131909)","(171, 0, 0.42671231)","(247, 0, 0.89394819)","(21, 0, 0.94516392)","(136, 0, 0.82229735)","(9, 0, 0.41247205)","(207, 0, 0.79632398)","(79, 0, 0.7581391)","(60, 0, 0.83382599)"
1,"(39, 0, 0.7640654)","(28, 0, 0.73928038)","(57, 0, 0.72533517)","(39, 0, 0.68708261)","(38, 0, 0.80036437)","(130, 0, 0.79706246)","(208, 0, 0.6684941)","(138, 0, 0.7254113)","(169, 0, 0.41995467)","(202, 0, 0.79709685)","(36, 0, 0.8497048)","(134, 0, 0.74279806)","(8, 0, 0.40436089)","(193, 0, 0.73433296)","(62, 0, 0.66200143)","(189, 0, 0.75357635)"
2,"(26, 0, 0.76357494)","(80, 0, 0.73909106)","(36, 0, 0.72309967)","(43, 0, 0.68471652)","(233, 0, 0.79673635)","(147, 0, 0.79175855)","(254, 0, 0.65232244)","(103, 0, 0.71851817)","(212, 0, 0.41184477)","(54, 0, 0.79311458)","(25, 0, 0.83273865)","(101, 0, 0.73923995)","(39, 0, 0.37485704)","(110, 0, 0.73044217)","(3, 0, 0.65304609)","(16, 0, 0.74373148)"
3,"(22, 0, 0.7635479)","(177, 0, 0.736586)","(212, 0, 0.71004544)","(181, 0, 0.67762182)","(6, 0, 0.79653283)","(128, 0, 0.78725598)","(220, 0, 0.64937953)","(170, 0, 0.71808238)","(152, 0, 0.40993157)","(198, 0, 0.79048966)","(229, 0, 0.82711646)","(71, 0, 0.73346663)","(136, 0, 0.37226584)","(83, 0, 0.7195231)","(15, 0, 0.65138406)","(1, 0, 0.74230492)"
4,"(5, 0, 0.76077354)","(191, 0, 0.73084554)","(25, 0, 0.70996803)","(103, 0, 0.6768215)","(139, 0, 0.7949123)","(159, 0, 0.77744384)","(158, 0, 0.64720222)","(151, 0, 0.71556895)","(70, 0, 0.4078334)","(251, 0, 0.78848504)","(27, 0, 0.82369683)","(164, 0, 0.73027738)","(230, 0, 0.35714309)","(195, 0, 0.71916417)","(28, 0, 0.6508068)","(77, 0, 0.73549532)"
5,"(9, 0, 0.75914312)","(145, 0, 0.73067262)","(154, 0, 0.70955408)","(138, 0, 0.67415551)","(4, 0, 0.7936472)","(13, 0, 0.77724122)","(240, 0, 0.64487823)","(54, 0, 0.71499097)","(165, 0, 0.4074473)","(58, 0, 0.78715199)","(59, 0, 0.82309814)","(69, 0, 0.72339932)","(170, 0, 0.35535679)","(225, 0, 0.71860889)","(97, 0, 0.6471563)","(177, 0, 0.73236715)"
6,"(107, 0, 0.75892413)","(189, 0, 0.73058729)","(171, 0, 0.70625686)","(215, 0, 0.67351649)","(25, 0, 0.79313789)","(15, 0, 0.77085636)","(131, 0, 0.64403709)","(136, 0, 0.71091302)","(68, 0, 0.40617682)","(217, 0, 0.78504872)","(57, 0, 0.82166334)","(170, 0, 0.72021642)","(73, 0, 0.3540878)","(242, 0, 0.71859384)","(109, 0, 0.64651331)","(112, 0, 0.72759036)"
7,"(7, 0, 0.75331196)","(224, 0, 0.73053879)","(169, 0, 0.70473901)","(134, 0, 0.67295802)","(36, 0, 0.79085646)","(162, 0, 0.77024379)","(178, 0, 0.64334995)","(75, 0, 0.70956503)","(106, 0, 0.40535358)","(219, 0, 0.78431097)","(89, 0, 0.81808954)","(181, 0, 0.72008055)","(196, 0, 0.35369703)","(34, 0, 0.71778501)","(99, 0, 0.6417741)","(33, 0, 0.72623532)"
8,"(185, 0, 0.75197917)","(50, 0, 0.72946805)","(55, 0, 0.70458972)","(251, 0, 0.67101417)","(100, 0, 0.79039593)","(3, 0, 0.76888306)","(115, 0, 0.64198357)","(22, 0, 0.70945783)","(233, 0, 0.39992075)","(7, 0, 0.78117738)","(68, 0, 0.81781737)","(7, 0, 0.71824014)","(116, 0, 0.35259694)","(12, 0, 0.71775033)","(142, 0, 0.64143885)","(145, 0, 0.72583035)"
