,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
PGE=,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,"(43, 0, 0.86679149)","(126, 0, 0.80516474)","(21, 0, 0.8162528)","(22, 0, 0.75902217)","(40, 0, 0.87387195)","(174, 0, 0.8527163)","(210, 0, 0.74670125)","(166, 0, 0.80930738)","(171, 0, 0.38286681)","(247, 0, 0.87639172)","(21, 0, 0.93070181)","(136, 0, 0.83166425)","(9, 0, 0.38071585)","(207, 0, 0.79381092)","(79, 0, 0.77645531)","(60, 0, 0.79888002)"
1,"(12, 0, 0.7722358)","(167, 0, 0.72633222)","(50, 0, 0.72352991)","(113, 0, 0.68355829)","(79, 0, 0.77344224)","(137, 0, 0.75401467)","(220, 0, 0.67261587)","(127, 0, 0.71842604)","(255, 0, 0.35370004)","(208, 0, 0.77805994)","(4, 0, 0.81462794)","(81, 0, 0.73738768)","(93, 0, 0.366628)","(168, 0, 0.71256748)","(150, 0, 0.6938089)","(229, 0, 0.71806489)"
2,"(76, 0, 0.76790478)","(42, 0, 0.71651206)","(114, 0, 0.72209461)","(232, 0, 0.68111439)","(57, 0, 0.76258615)","(201, 0, 0.75334707)","(198, 0, 0.66765405)","(168, 0, 0.71421433)","(241, 0, 0.35186212)","(46, 0, 0.77497903)","(114, 0, 0.81220474)","(220, 0, 0.73505713)","(230, 0, 0.36656839)","(22, 0, 0.71024607)","(65, 0, 0.69071534)","(91, 0, 0.71014218)"
3,"(213, 0, 0.76536268)","(106, 0, 0.71151913)","(204, 0, 0.72123133)","(207, 0, 0.6740446)","(238, 0, 0.76095008)","(30, 0, 0.74952953)","(56, 0, 0.666632)","(193, 0, 0.7113665)","(191, 0, 0.35032075)","(144, 0, 0.77312947)","(235, 0, 0.80926303)","(98, 0, 0.73469561)","(193, 0, 0.36214973)","(49, 0, 0.70616328)","(40, 0, 0.68615666)","(50, 0, 0.70040788)"
4,"(237, 0, 0.76236401)","(169, 0, 0.70939892)","(191, 0, 0.71817349)","(2, 0, 0.67254383)","(102, 0, 0.76094769)","(104, 0, 0.74950868)","(81, 0, 0.66353104)","(242, 0, 0.71030806)","(68, 0, 0.34618788)","(110, 0, 0.77092959)","(50, 0, 0.80808533)","(156, 0, 0.72923331)","(88, 0, 0.35931011)","(232, 0, 0.70114149)","(204, 0, 0.68350543)","(194, 0, 0.69747267)"
5,"(242, 0, 0.75900763)","(25, 0, 0.70844036)","(201, 0, 0.71532884)","(76, 0, 0.6688261)","(224, 0, 0.76092354)","(16, 0, 0.74753861)","(136, 0, 0.66254709)","(37, 0, 0.7098031)","(4, 0, 0.34525646)","(249, 0, 0.77030855)","(250, 0, 0.80797199)","(245, 0, 0.72779012)","(8, 0, 0.35930196)","(155, 0, 0.70107382)","(165, 0, 0.68301607)","(224, 0, 0.69551178)"
6,"(138, 0, 0.75872759)","(112, 0, 0.70810347)","(235, 0, 0.71530227)","(252, 0, 0.66672546)","(177, 0, 0.76013357)","(119, 0, 0.74535431)","(181, 0, 0.66100968)","(113, 0, 0.70962632)","(74, 0, 0.34463295)","(96, 0, 0.76998726)","(211, 0, 0.80719639)","(34, 0, 0.72507173)","(127, 0, 0.35482627)","(83, 0, 0.70012429)","(147, 0, 0.67927364)","(250, 0, 0.69470138)"
7,"(158, 0, 0.75762111)","(8, 0, 0.70688105)","(99, 0, 0.71521517)","(96, 0, 0.66591121)","(214, 0, 0.7600749)","(80, 0, 0.74506801)","(11, 0, 0.66051245)","(52, 0, 0.70905532)","(1, 0, 0.34427601)","(73, 0, 0.76585798)","(165, 0, 0.80458164)","(134, 0, 0.72501216)","(163, 0, 0.35109295)","(37, 0, 0.69917031)","(241, 0, 0.6788971)","(235, 0, 0.69460431)"
8,"(188, 0, 0.75756923)","(36, 0, 0.70676793)","(238, 0, 0.71424871)","(49, 0, 0.66478295)","(186, 0, 0.75990674)","(160, 0, 0.74484432)","(251, 0, 0.65846325)","(178, 0, 0.70816003)","(157, 0, 0.34416007)","(29, 0, 0.76292207)","(150, 0, 0.80365315)","(118, 0, 0.7249269)","(83, 0, 0.35063487)","(219, 0, 0.69711409)","(21, 0, 0.67863915)","(140, 0, 0.6940845)"
