,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
PGE=,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,"(43, 0, 0.86596945)","(126, 0, 0.81410474)","(21, 0, 0.8238308)","(22, 0, 0.73875265)","(40, 0, 0.88579851)","(174, 0, 0.84460756)","(210, 0, 0.7614294)","(166, 0, 0.8273836)","(171, 0, 0.38112794)","(247, 0, 0.88294532)","(21, 0, 0.92834434)","(136, 0, 0.8184764)","(9, 0, 0.40860676)","(207, 0, 0.78925989)","(79, 0, 0.76280459)","(60, 0, 0.78955053)"
1,"(242, 0, 0.79049966)","(167, 0, 0.74297278)","(50, 0, 0.73924382)","(207, 0, 0.66766756)","(27, 0, 0.78047014)","(4, 0, 0.75486888)","(181, 0, 0.71047366)","(127, 0, 0.74315109)","(241, 0, 0.36860864)","(144, 0, 0.81245731)","(114, 0, 0.81968508)","(54, 0, 0.71242473)","(93, 0, 0.40512509)","(168, 0, 0.72306066)","(204, 0, 0.69556996)","(229, 0, 0.72948753)"
2,"(237, 0, 0.78912988)","(192, 0, 0.72799467)","(191, 0, 0.73924142)","(113, 0, 0.66658582)","(57, 0, 0.77731689)","(80, 0, 0.75174436)","(56, 0, 0.70600635)","(193, 0, 0.73897868)","(4, 0, 0.36580531)","(46, 0, 0.80204638)","(4, 0, 0.80266061)","(98, 0, 0.7067413)","(227, 0, 0.3987835)","(19, 0, 0.71903003)","(65, 0, 0.6870483)","(91, 0, 0.72404393)"
3,"(76, 0, 0.78757724)","(3, 0, 0.72505281)","(99, 0, 0.73438292)","(208, 0, 0.66487835)","(224, 0, 0.77661886)","(199, 0, 0.74826563)","(198, 0, 0.70467845)","(168, 0, 0.73712939)","(68, 0, 0.35727167)","(73, 0, 0.79341233)","(250, 0, 0.80100484)","(220, 0, 0.70573028)","(163, 0, 0.39622403)","(101, 0, 0.717365)","(21, 0, 0.68627859)","(165, 0, 0.70509024)"
4,"(63, 0, 0.78269136)","(87, 0, 0.72313933)","(238, 0, 0.72884858)","(232, 0, 0.65915152)","(238, 0, 0.77489915)","(114, 0, 0.74515628)","(134, 0, 0.69927667)","(63, 0, 0.72888745)","(85, 0, 0.35559501)","(110, 0, 0.79328407)","(211, 0, 0.79972413)","(134, 0, 0.70028006)","(202, 0, 0.39519257)","(22, 0, 0.71580272)","(147, 0, 0.68518313)","(235, 0, 0.70505228)"
5,"(58, 0, 0.78238621)","(28, 0, 0.71839238)","(204, 0, 0.72406691)","(129, 0, 0.65543238)","(85, 0, 0.77436027)","(201, 0, 0.74496224)","(200, 0, 0.69805474)","(113, 0, 0.72859733)","(255, 0, 0.3555164)","(208, 0, 0.79289922)","(135, 0, 0.79648422)","(11, 0, 0.69813206)","(183, 0, 0.39408863)","(155, 0, 0.70917959)","(91, 0, 0.67780228)","(15, 0, 0.70473869)"
6,"(213, 0, 0.78187583)","(203, 0, 0.71639138)","(255, 0, 0.72389299)","(166, 0, 0.65347358)","(79, 0, 0.77376509)","(85, 0, 0.74403156)","(245, 0, 0.69645545)","(242, 0, 0.72704785)","(21, 0, 0.35409526)","(202, 0, 0.79168344)","(165, 0, 0.79611324)","(17, 0, 0.69754481)","(249, 0, 0.38810993)","(242, 0, 0.70823683)","(150, 0, 0.6762775)","(194, 0, 0.70150537)"
7,"(227, 0, 0.78103188)","(106, 0, 0.71597594)","(201, 0, 0.72169548)","(66, 0, 0.65098217)","(199, 0, 0.77146313)","(16, 0, 0.74361415)","(108, 0, 0.69594503)","(37, 0, 0.72674626)","(65, 0, 0.35316376)","(24, 0, 0.79101729)","(171, 0, 0.79609645)","(34, 0, 0.6946627)","(8, 0, 0.38685115)","(232, 0, 0.70693919)","(130, 0, 0.67518337)","(250, 0, 0.70094269)"
8,"(143, 0, 0.77915191)","(42, 0, 0.71569829)","(250, 0, 0.72020004)","(49, 0, 0.64861664)","(137, 0, 0.77056668)","(224, 0, 0.74111366)","(5, 0, 0.69556689)","(96, 0, 0.72206152)","(157, 0, 0.35181752)","(249, 0, 0.78795983)","(65, 0, 0.79605554)","(51, 0, 0.69380687)","(49, 0, 0.38665)","(219, 0, 0.70653355)","(10, 0, 0.67468351)","(79, 0, 0.70027404)"
