,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
PGE=,0,0,0,0,0,0,1,0,15,0,0,0,30,1,1,0
0,"(43, 0, 0.92156695)","(126, 0, 0.83970282)","(21, 0, 0.87297098)","(22, 0, 0.8257684)","(40, 0, 0.81076064)","(174, 0, 0.85645462)","(172, 0, 0.81448013)","(166, 0, 0.83118949)","(100, 0, 0.78286897)","(247, 0, 0.8687112)","(21, 0, 0.94889457)","(136, 0, 0.81056654)","(239, 0, 0.8117742)","(31, 0, 0.86133115)","(136, 0, 0.83526671)","(60, 0, 0.83173827)"
1,"(189, 0, 0.81244442)","(30, 0, 0.8323058)","(185, 0, 0.83183509)","(105, 0, 0.8123364)","(200, 0, 0.77392501)","(247, 0, 0.84448511)","(210, 0, 0.80491589)","(249, 0, 0.81681292)","(9, 0, 0.78246166)","(251, 0, 0.83562361)","(81, 0, 0.79737657)","(20, 0, 0.79015575)","(75, 0, 0.79731832)","(207, 0, 0.82109569)","(79, 0, 0.8256365)","(101, 0, 0.77465116)"
2,"(52, 0, 0.80050642)","(65, 0, 0.79534172)","(109, 0, 0.80305444)","(69, 0, 0.80858063)","(154, 0, 0.75114849)","(65, 0, 0.76678296)","(60, 0, 0.7984437)","(162, 0, 0.79727507)","(151, 0, 0.77837053)","(145, 0, 0.79340928)","(236, 0, 0.79454663)","(161, 0, 0.77680788)","(226, 0, 0.76338961)","(186, 0, 0.78167944)","(146, 0, 0.81396881)","(46, 0, 0.76860748)"
3,"(199, 0, 0.78830679)","(106, 0, 0.79416621)","(105, 0, 0.79841445)","(28, 0, 0.80604967)","(216, 0, 0.74811756)","(0, 0, 0.75393554)","(159, 0, 0.77875231)","(17, 0, 0.77753797)","(231, 0, 0.77417805)","(214, 0, 0.78522808)","(200, 0, 0.78816573)","(246, 0, 0.77116065)","(76, 0, 0.75558143)","(14, 0, 0.76524982)","(15, 0, 0.78241245)","(243, 0, 0.75646072)"
4,"(83, 0, 0.76624974)","(129, 0, 0.78420542)","(211, 0, 0.79634992)","(199, 0, 0.79701265)","(254, 0, 0.74604902)","(168, 0, 0.74970679)","(82, 0, 0.7764622)","(93, 0, 0.77303285)","(117, 0, 0.76928502)","(212, 0, 0.78487772)","(213, 0, 0.78332464)","(169, 0, 0.75363585)","(54, 0, 0.7545537)","(240, 0, 0.75260729)","(244, 0, 0.76543547)","(204, 0, 0.74746214)"
5,"(229, 0, 0.76618175)","(124, 0, 0.77922945)","(32, 0, 0.78555109)","(83, 0, 0.79390883)","(75, 0, 0.74488117)","(149, 0, 0.74839689)","(182, 0, 0.76614257)","(192, 0, 0.76807011)","(112, 0, 0.75661671)","(46, 0, 0.77674489)","(230, 0, 0.78228412)","(11, 0, 0.74976954)","(40, 0, 0.75036648)","(76, 0, 0.75234637)","(111, 0, 0.75970395)","(64, 0, 0.74037311)"
6,"(59, 0, 0.7585571)","(142, 0, 0.77141916)","(2, 0, 0.77870193)","(178, 0, 0.79316869)","(92, 0, 0.74206954)","(77, 0, 0.74783769)","(4, 0, 0.76511439)","(181, 0, 0.76506587)","(203, 0, 0.74884274)","(221, 0, 0.77401449)","(114, 0, 0.77886525)","(171, 0, 0.74948751)","(95, 0, 0.74544348)","(100, 0, 0.74873854)","(60, 0, 0.75945573)","(175, 0, 0.73913164)"
7,"(44, 0, 0.75724752)","(100, 0, 0.76008354)","(22, 0, 0.77777347)","(36, 0, 0.79141387)","(52, 0, 0.73959617)","(131, 0, 0.74450185)","(47, 0, 0.7562341)","(172, 0, 0.76315835)","(225, 0, 0.74566242)","(173, 0, 0.76986476)","(91, 0, 0.7776768)","(209, 0, 0.74388659)","(126, 0, 0.74537574)","(137, 0, 0.74398454)","(134, 0, 0.75735704)","(116, 0, 0.73897497)"
8,"(157, 0, 0.75404503)","(25, 0, 0.75341836)","(169, 0, 0.7592216)","(232, 0, 0.79111364)","(140, 0, 0.73682216)","(217, 0, 0.74415873)","(139, 0, 0.75348919)","(41, 0, 0.75902799)","(19, 0, 0.74428177)","(253, 0, 0.76240349)","(69, 0, 0.77168189)","(34, 0, 0.73998704)","(245, 0, 0.74505337)","(171, 0, 0.74281702)","(162, 0, 0.74636475)","(194, 0, 0.7389548)"
