,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
PGE=,0,0,0,0,0,0,1,0,27,0,0,0,7,0,0,0
0,"(43, 0, 0.91571715)","(126, 0, 0.85016327)","(21, 0, 0.9075385)","(22, 0, 0.79892946)","(40, 0, 0.78481197)","(174, 0, 0.81476536)","(81, 0, 0.78544189)","(166, 0, 0.79913545)","(75, 0, 0.70780742)","(247, 0, 0.88733229)","(21, 0, 0.93605863)","(136, 0, 0.76641953)","(75, 0, 0.72355676)","(207, 0, 0.83246904)","(79, 0, 0.81191199)","(60, 0, 0.81695019)"
1,"(203, 0, 0.72186754)","(65, 0, 0.7404361)","(242, 0, 0.73749613)","(50, 0, 0.71885803)","(154, 0, 0.70905063)","(87, 0, 0.72017874)","(210, 0, 0.77965054)","(41, 0, 0.7002681)","(248, 0, 0.70395179)","(46, 0, 0.79060058)","(69, 0, 0.72488357)","(20, 0, 0.70825339)","(8, 0, 0.71487147)","(206, 0, 0.72012422)","(162, 0, 0.73497785)","(152, 0, 0.74050287)"
2,"(189, 0, 0.70823402)","(136, 0, 0.73216676)","(55, 0, 0.7029078)","(210, 0, 0.70087846)","(140, 0, 0.7081735)","(217, 0, 0.71238624)","(112, 0, 0.7247887)","(194, 0, 0.68794021)","(155, 0, 0.70319166)","(69, 0, 0.71312089)","(169, 0, 0.72224452)","(22, 0, 0.70650781)","(32, 0, 0.70019027)","(30, 0, 0.71027953)","(169, 0, 0.72816848)","(172, 0, 0.72735457)"
3,"(117, 0, 0.68314253)","(88, 0, 0.71259346)","(247, 0, 0.69752989)","(218, 0, 0.693661)","(10, 0, 0.69675389)","(149, 0, 0.70992692)","(183, 0, 0.70035014)","(167, 0, 0.68454985)","(119, 0, 0.69735455)","(170, 0, 0.69997288)","(138, 0, 0.69676965)","(176, 0, 0.70214237)","(226, 0, 0.69368474)","(185, 0, 0.6986278)","(247, 0, 0.71329773)","(46, 0, 0.72205726)"
4,"(16, 0, 0.68284862)","(137, 0, 0.69033224)","(59, 0, 0.69041782)","(232, 0, 0.69215599)","(12, 0, 0.69355388)","(131, 0, 0.69333617)","(196, 0, 0.69799701)","(79, 0, 0.67647954)","(79, 0, 0.68495873)","(86, 0, 0.67874725)","(233, 0, 0.6753134)","(227, 0, 0.68334094)","(239, 0, 0.69153542)","(240, 0, 0.68979775)","(244, 0, 0.70535954)","(191, 0, 0.69694792)"
5,"(169, 0, 0.68095976)","(175, 0, 0.68789432)","(13, 0, 0.68966647)","(63, 0, 0.68821394)","(233, 0, 0.67650943)","(110, 0, 0.69104136)","(127, 0, 0.69123896)","(175, 0, 0.67009509)","(170, 0, 0.68400435)","(168, 0, 0.6692688)","(187, 0, 0.66451974)","(162, 0, 0.67887788)","(205, 0, 0.68908476)","(40, 0, 0.67696013)","(231, 0, 0.68390494)","(207, 0, 0.69523194)"
6,"(47, 0, 0.67149797)","(254, 0, 0.68564881)","(212, 0, 0.68886006)","(173, 0, 0.68638917)","(2, 0, 0.67610591)","(187, 0, 0.68855573)","(211, 0, 0.67204518)","(164, 0, 0.6670905)","(33, 0, 0.67668563)","(224, 0, 0.66649393)","(53, 0, 0.66264803)","(246, 0, 0.67798261)","(115, 0, 0.6881711)","(200, 0, 0.67131232)","(39, 0, 0.67069638)","(117, 0, 0.67579417)"
7,"(59, 0, 0.66684197)","(169, 0, 0.68558993)","(203, 0, 0.68870001)","(36, 0, 0.68108424)","(158, 0, 0.67440636)","(247, 0, 0.67807236)","(174, 0, 0.67018797)","(192, 0, 0.66289396)","(117, 0, 0.67630487)","(251, 0, 0.66121663)","(70, 0, 0.65955572)","(137, 0, 0.6626167)","(9, 0, 0.68350212)","(50, 0, 0.66866979)","(228, 0, 0.66725303)","(146, 0, 0.66682595)"
8,"(42, 0, 0.66639874)","(154, 0, 0.67883969)","(84, 0, 0.68665)","(234, 0, 0.67987197)","(57, 0, 0.66932022)","(202, 0, 0.6742077)","(74, 0, 0.66575889)","(37, 0, 0.66227347)","(72, 0, 0.67267674)","(60, 0, 0.65742269)","(52, 0, 0.65664486)","(206, 0, 0.66047672)","(126, 0, 0.67873689)","(246, 0, 0.66785145)","(86, 0, 0.66414052)","(217, 0, 0.66024977)"
