,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
PGE=,0,0,0,0,0,0,0,0,9,0,0,0,94,0,1,0
0,"(43, 0, 0.79527438)","(126, 0, 0.8295729)","(21, 0, 0.87117623)","(22, 0, 0.81892774)","(40, 0, 0.87996335)","(174, 0, 0.84246371)","(210, 0, 0.76504409)","(166, 0, 0.85199749)","(154, 0, 0.57246493)","(247, 0, 0.90996215)","(21, 0, 0.9306807)","(136, 0, 0.89021464)","(44, 0, 0.541197)","(207, 0, 0.83250687)","(194, 0, 0.76794373)","(60, 0, 0.79905321)"
1,"(249, 0, 0.72504304)","(145, 0, 0.80544642)","(133, 0, 0.82969587)","(71, 0, 0.79307316)","(6, 0, 0.83636192)","(226, 0, 0.7983205)","(127, 0, 0.74072282)","(39, 0, 0.78163965)","(22, 0, 0.53703636)","(181, 0, 0.86612108)","(42, 0, 0.86132709)","(132, 0, 0.83867074)","(225, 0, 0.52414099)","(131, 0, 0.76974857)","(79, 0, 0.74723635)","(160, 0, 0.77668455)"
2,"(22, 0, 0.71660432)","(67, 0, 0.78944867)","(212, 0, 0.8217383)","(168, 0, 0.77884609)","(214, 0, 0.82436595)","(204, 0, 0.77472319)","(49, 0, 0.73667306)","(170, 0, 0.77143593)","(169, 0, 0.5240488)","(103, 0, 0.85729054)","(165, 0, 0.85631546)","(22, 0, 0.83137072)","(64, 0, 0.52378732)","(115, 0, 0.76919373)","(223, 0, 0.74675883)","(241, 0, 0.76277598)"
3,"(234, 0, 0.71254489)","(15, 0, 0.76160186)","(36, 0, 0.8201578)","(136, 0, 0.76707265)","(182, 0, 0.81972798)","(94, 0, 0.77446229)","(29, 0, 0.73463128)","(132, 0, 0.77011969)","(219, 0, 0.52358899)","(69, 0, 0.85102278)","(23, 0, 0.84967515)","(69, 0, 0.83015168)","(208, 0, 0.50518581)","(254, 0, 0.75662266)","(191, 0, 0.73561343)","(18, 0, 0.76159204)"
4,"(203, 0, 0.69854023)","(35, 0, 0.75950207)","(169, 0, 0.81345951)","(11, 0, 0.76498381)","(100, 0, 0.8162003)","(13, 0, 0.76714012)","(146, 0, 0.72738986)","(134, 0, 0.756107)","(68, 0, 0.51840004)","(202, 0, 0.84353181)","(135, 0, 0.83651689)","(185, 0, 0.81889841)","(237, 0, 0.50289572)","(225, 0, 0.74787185)","(241, 0, 0.73340683)","(92, 0, 0.75404513)"
5,"(20, 0, 0.69621811)","(157, 0, 0.7589309)","(57, 0, 0.8117044)","(132, 0, 0.76270339)","(59, 0, 0.81471931)","(15, 0, 0.76151844)","(81, 0, 0.71727381)","(168, 0, 0.75582008)","(19, 0, 0.51713255)","(245, 0, 0.84096725)","(36, 0, 0.83641423)","(43, 0, 0.81771539)","(163, 0, 0.50000427)","(51, 0, 0.74713749)","(30, 0, 0.73311314)","(221, 0, 0.75320797)"
6,"(151, 0, 0.69489804)","(62, 0, 0.75456767)","(248, 0, 0.81126502)","(58, 0, 0.76167981)","(165, 0, 0.81346191)","(50, 0, 0.75877513)","(125, 0, 0.70928595)","(7, 0, 0.75329804)","(244, 0, 0.51704209)","(251, 0, 0.84024079)","(102, 0, 0.83496853)","(134, 0, 0.81670932)","(195, 0, 0.49499604)","(227, 0, 0.74507595)","(82, 0, 0.73287183)","(30, 0, 0.75212263)"
7,"(26, 0, 0.69369351)","(112, 0, 0.75309125)","(218, 0, 0.81046077)","(249, 0, 0.75890367)","(21, 0, 0.81088766)","(253, 0, 0.75420992)","(78, 0, 0.70547858)","(75, 0, 0.75198346)","(11, 0, 0.51550478)","(52, 0, 0.83996719)","(91, 0, 0.83165839)","(200, 0, 0.81431261)","(227, 0, 0.49468364)","(237, 0, 0.73580714)","(243, 0, 0.72986966)","(99, 0, 0.74962024)"
8,"(196, 0, 0.68812721)","(236, 0, 0.75266383)","(139, 0, 0.80468836)","(215, 0, 0.75798292)","(171, 0, 0.81051547)","(223, 0, 0.75238277)","(143, 0, 0.70484561)","(198, 0, 0.75161729)","(245, 0, 0.51149543)","(213, 0, 0.83883249)","(233, 0, 0.83019307)","(71, 0, 0.8085628)","(207, 0, 0.49436444)","(61, 0, 0.73348407)","(255, 0, 0.72948226)","(62, 0, 0.73902585)"
