,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
PGE=,0,15,0,2,2,2,0,0,238,0,0,1,146,0,0,0
0,"(43, 0, 0.79864823)","(97, 0, 0.8705532)","(21, 0, 0.91596663)","(136, 0, 0.83530559)","(6, 0, 0.87711639)","(204, 0, 0.85813843)","(210, 0, 0.77802503)","(166, 0, 0.87561173)","(22, 0, 0.73809372)","(247, 0, 0.89816941)","(21, 0, 0.95340016)","(134, 0, 0.89384627)","(46, 0, 0.72677897)","(207, 0, 0.8402874)","(79, 0, 0.78176164)","(60, 0, 0.87585584)"
1,"(52, 0, 0.75575267)","(35, 0, 0.87017934)","(248, 0, 0.90245828)","(170, 0, 0.81837328)","(10, 0, 0.87506408)","(15, 0, 0.82612546)","(107, 0, 0.76945727)","(75, 0, 0.85094851)","(62, 0, 0.71856219)","(116, 0, 0.87966342)","(167, 0, 0.85723285)","(136, 0, 0.87643264)","(64, 0, 0.71793945)","(12, 0, 0.8021425)","(82, 0, 0.76821292)","(221, 0, 0.87342174)"
2,"(116, 0, 0.75240936)","(172, 0, 0.86467666)","(68, 0, 0.8848555)","(22, 0, 0.81229291)","(40, 0, 0.86837601)","(174, 0, 0.82435767)","(223, 0, 0.76838215)","(170, 0, 0.83075469)","(251, 0, 0.71616645)","(52, 0, 0.87847367)","(150, 0, 0.84160958)","(132, 0, 0.86898321)","(238, 0, 0.71494143)","(115, 0, 0.79857378)","(243, 0, 0.76642246)","(18, 0, 0.86765587)"
3,"(170, 0, 0.73489953)","(80, 0, 0.85454068)","(169, 0, 0.88312216)","(56, 0, 0.80692956)","(55, 0, 0.8629826)","(50, 0, 0.8140343)","(158, 0, 0.76323236)","(198, 0, 0.80395026)","(90, 0, 0.70898221)","(181, 0, 0.87645135)","(165, 0, 0.83745118)","(39, 0, 0.85358394)","(237, 0, 0.7130864)","(108, 0, 0.7984317)","(211, 0, 0.76216995)","(157, 0, 0.84880821)"
4,"(56, 0, 0.73393264)","(145, 0, 0.84273659)","(171, 0, 0.88263431)","(58, 0, 0.80254541)","(233, 0, 0.86016255)","(147, 0, 0.81266244)","(127, 0, 0.76198405)","(7, 0, 0.79660587)","(223, 0, 0.70163676)","(24, 0, 0.87535913)","(182, 0, 0.82655435)","(43, 0, 0.83836481)","(31, 0, 0.70788002)","(143, 0, 0.79632651)","(223, 0, 0.75864426)","(172, 0, 0.84634241)"
5,"(37, 0, 0.73262773)","(109, 0, 0.84154064)","(218, 0, 0.88164462)","(71, 0, 0.79991124)","(59, 0, 0.8572804)","(33, 0, 0.81073764)","(34, 0, 0.75396442)","(101, 0, 0.79605056)","(115, 0, 0.6960321)","(202, 0, 0.8728402)","(42, 0, 0.8254255)","(22, 0, 0.82927716)","(66, 0, 0.70704171)","(63, 0, 0.79051636)","(48, 0, 0.75826731)","(160, 0, 0.84519668)"
6,"(151, 0, 0.7268512)","(67, 0, 0.84129008)","(57, 0, 0.87612677)","(52, 0, 0.78394595)","(137, 0, 0.85690612)","(162, 0, 0.80631307)","(252, 0, 0.75335473)","(9, 0, 0.79427793)","(170, 0, 0.6932813)","(155, 0, 0.86694124)","(23, 0, 0.82433401)","(75, 0, 0.82739032)","(17, 0, 0.70567302)","(2, 0, 0.78265358)","(18, 0, 0.75093979)","(47, 0, 0.84322082)"
7,"(106, 0, 0.72426426)","(47, 0, 0.84095821)","(133, 0, 0.87491741)","(251, 0, 0.78326252)","(91, 0, 0.85100084)","(13, 0, 0.80457576)","(190, 0, 0.75316708)","(202, 0, 0.78256783)","(47, 0, 0.69324087)","(138, 0, 0.8653181)","(123, 0, 0.82129809)","(170, 0, 0.82520289)","(96, 0, 0.70059854)","(195, 0, 0.77477259)","(62, 0, 0.74526237)","(253, 0, 0.84166447)"
8,"(20, 0, 0.72325751)","(174, 0, 0.8395712)","(212, 0, 0.87186244)","(20, 0, 0.7826147)","(197, 0, 0.84699499)","(1, 0, 0.80120133)","(52, 0, 0.75232959)","(86, 0, 0.77996153)","(28, 0, 0.69211857)","(20, 0, 0.86121329)","(85, 0, 0.82126974)","(69, 0, 0.81885491)","(51, 0, 0.70035382)","(66, 0, 0.77320807)","(177, 0, 0.73985763)","(16, 0, 0.83644693)"
