,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
PGE=,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
0,"(43, 0, 0.85802628)","(126, 0, 0.81357388)","(21, 0, 0.82231281)","(22, 0, 0.8158263)","(40, 0, 0.86952357)","(174, 0, 0.86959088)","(211, 0, 0.796215)","(166, 0, 0.82921558)","(170, 0, 0.80604534)","(247, 0, 0.87366116)","(21, 0, 0.92811737)","(136, 0, 0.8151201)","(9, 0, 0.78538523)","(207, 0, 0.81720959)","(79, 0, 0.80204971)","(61, 0, 0.79682704)"
1,"(42, 0, 0.78678705)","(127, 0, 0.78913409)","(20, 0, 0.78756293)","(23, 0, 0.79345013)","(41, 0, 0.79721988)","(175, 0, 0.79413325)","(210, 0, 0.79230851)","(167, 0, 0.79334662)","(171, 0, 0.79411853)","(246, 0, 0.78460247)","(20, 0, 0.8021922)","(137, 0, 0.7777128)","(8, 0, 0.77854093)","(206, 0, 0.78377788)","(78, 0, 0.7791288)","(60, 0, 0.79165394)"
2,"(93, 0, 0.58928935)","(9, 0, 0.66230126)","(99, 0, 0.60789702)","(97, 0, 0.61174157)","(95, 0, 0.62146942)","(216, 0, 0.61906007)","(164, 0, 0.63663525)","(209, 0, 0.59110035)","(220, 0, 0.63860324)","(129, 0, 0.62768008)","(99, 0, 0.64672205)","(254, 0, 0.61723741)","(126, 0, 0.60975737)","(184, 0, 0.61761726)","(56, 0, 0.61973872)","(74, 0, 0.62781873)"
3,"(92, 0, 0.58220247)","(23, 0, 0.62082111)","(98, 0, 0.60333829)","(96, 0, 0.59893249)","(94, 0, 0.61791306)","(217, 0, 0.61117968)","(165, 0, 0.61853154)","(112, 0, 0.58546601)","(221, 0, 0.63847867)","(128, 0, 0.61914619)","(98, 0, 0.62722181)","(255, 0, 0.59503825)","(127, 0, 0.5937794)","(150, 0, 0.59438277)","(152, 0, 0.59062921)","(75, 0, 0.62747912)"
4,"(114, 0, 0.56735655)","(154, 0, 0.61422954)","(194, 0, 0.59407391)","(78, 0, 0.58636437)","(176, 0, 0.61569518)","(121, 0, 0.58273918)","(5, 0, 0.61812152)","(208, 0, 0.5825276)","(125, 0, 0.61380487)","(175, 0, 0.59719834)","(240, 0, 0.58939047)","(208, 0, 0.58533079)","(222, 0, 0.57783647)","(185, 0, 0.59436957)","(153, 0, 0.58535555)","(156, 0, 0.57942761)"
5,"(232, 0, 0.56729266)","(8, 0, 0.61029117)","(77, 0, 0.57600311)","(193, 0, 0.58403027)","(255, 0, 0.60653804)","(15, 0, 0.570079)","(74, 0, 0.59814859)","(7, 0, 0.58041635)","(22, 0, 0.60294759)","(32, 0, 0.5950039)","(11, 0, 0.58882073)","(95, 0, 0.57985975)","(169, 0, 0.57078828)","(87, 0, 0.59318841)","(57, 0, 0.58480101)","(101, 0, 0.57043556)"
6,"(66, 0, 0.56624058)","(38, 0, 0.60626413)","(181, 0, 0.56936951)","(192, 0, 0.58400659)","(136, 0, 0.59125122)","(227, 0, 0.56606758)","(138, 0, 0.58647722)","(255, 0, 0.57691691)","(243, 0, 0.60089852)","(86, 0, 0.57604526)","(77, 0, 0.58707013)","(94, 0, 0.57959727)","(168, 0, 0.56983089)","(101, 0, 0.59111332)","(239, 0, 0.57794188)","(100, 0, 0.56355879)"
7,"(253, 0, 0.56494182)","(168, 0, 0.60173308)","(180, 0, 0.56923554)","(127, 0, 0.58083437)","(112, 0, 0.58357686)","(130, 0, 0.55994225)","(16, 0, 0.58326806)","(4, 0, 0.56598727)","(10, 0, 0.59661161)","(33, 0, 0.57334716)","(124, 0, 0.58625984)","(209, 0, 0.5658859)","(243, 0, 0.56628689)","(32, 0, 0.58009436)","(22, 0, 0.57282985)","(234, 0, 0.56139578)"
8,"(129, 0, 0.56450767)","(222, 0, 0.60088924)","(195, 0, 0.56869618)","(141, 0, 0.57365662)","(254, 0, 0.58346152)","(109, 0, 0.55943056)","(114, 0, 0.58134399)","(62, 0, 0.56031908)","(0, 0, 0.59564175)","(87, 0, 0.56857747)","(162, 0, 0.58187198)","(41, 0, 0.56449768)","(81, 0, 0.56627436)","(25, 0, 0.57063351)","(238, 0, 0.57184809)","(6, 0, 0.55482537)"
