,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
PGE=,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
0,"(43, 0, 0.84225602)","(126, 0, 0.77393634)","(21, 0, 0.893778)","(22, 0, 0.83707261)","(40, 0, 0.88947664)","(174, 0, 0.85631046)","(210, 0, 0.8319613)","(166, 0, 0.80715332)","(170, 0, 0.79562211)","(247, 0, 0.87865197)","(21, 0, 0.93732983)","(136, 0, 0.82541978)","(9, 0, 0.81813666)","(207, 0, 0.81113687)","(78, 0, 0.80204495)","(60, 0, 0.82306873)"
1,"(42, 0, 0.81168031)","(127, 0, 0.73419072)","(20, 0, 0.69855449)","(23, 0, 0.80128185)","(41, 0, 0.74910788)","(175, 0, 0.82369003)","(211, 0, 0.76531484)","(167, 0, 0.79763193)","(171, 0, 0.72814779)","(246, 0, 0.76107342)","(20, 0, 0.80527227)","(137, 0, 0.78711921)","(8, 0, 0.78955805)","(206, 0, 0.70502076)","(79, 0, 0.77627767)","(61, 0, 0.75077348)"
2,"(112, 0, 0.70895347)","(117, 0, 0.70344026)","(98, 0, 0.65066393)","(10, 0, 0.68110982)","(205, 0, 0.65307953)","(217, 0, 0.73571799)","(19, 0, 0.66838114)","(209, 0, 0.66201352)","(220, 0, 0.62354676)","(175, 0, 0.66830073)","(181, 0, 0.69092643)","(205, 0, 0.67311444)","(126, 0, 0.65556899)","(218, 0, 0.65980973)","(57, 0, 0.61562192)","(74, 0, 0.69474628)"
3,"(40, 0, 0.69560021)","(168, 0, 0.69891789)","(77, 0, 0.62332945)","(96, 0, 0.67449133)","(95, 0, 0.63474127)","(227, 0, 0.73481184)","(5, 0, 0.66322534)","(164, 0, 0.64821225)","(0, 0, 0.59706974)","(65, 0, 0.64315605)","(99, 0, 0.68473237)","(209, 0, 0.65992589)","(127, 0, 0.64680182)","(233, 0, 0.63691148)","(238, 0, 0.61085009)","(75, 0, 0.67228646)"
4,"(93, 0, 0.68096258)","(2, 0, 0.69534692)","(214, 0, 0.59554938)","(97, 0, 0.67200152)","(209, 0, 0.61118179)","(123, 0, 0.67943987)","(164, 0, 0.66251351)","(112, 0, 0.64151943)","(243, 0, 0.59678223)","(24, 0, 0.63883197)","(154, 0, 0.67664429)","(121, 0, 0.64887236)","(10, 0, 0.61443894)","(100, 0, 0.63296382)","(152, 0, 0.59658204)","(5, 0, 0.66346907)"
5,"(110, 0, 0.67434113)","(91, 0, 0.67649253)","(162, 0, 0.58739361)","(142, 0, 0.67043489)","(149, 0, 0.61059834)","(226, 0, 0.67783051)","(101, 0, 0.6499532)","(7, 0, 0.64061941)","(125, 0, 0.58410886)","(149, 0, 0.62745363)","(49, 0, 0.66153486)","(254, 0, 0.6447658)","(141, 0, 0.61184583)","(254, 0, 0.63290384)","(248, 0, 0.59257359)","(139, 0, 0.66255892)"
6,"(156, 0, 0.67115637)","(59, 0, 0.67350876)","(22, 0, 0.58693772)","(144, 0, 0.66632042)","(75, 0, 0.6103365)","(218, 0, 0.67412421)","(165, 0, 0.64575606)","(113, 0, 0.64009541)","(195, 0, 0.58343894)","(173, 0, 0.62703318)","(59, 0, 0.65946111)","(95, 0, 0.64383503)","(97, 0, 0.61172724)","(101, 0, 0.63185538)","(82, 0, 0.59156779)","(101, 0, 0.65073162)"
7,"(27, 0, 0.67022389)","(46, 0, 0.66253997)","(58, 0, 0.58568018)","(242, 0, 0.66351518)","(224, 0, 0.60832834)","(245, 0, 0.65943714)","(150, 0, 0.63609392)","(4, 0, 0.63880282)","(221, 0, 0.57673578)","(129, 0, 0.62251129)","(98, 0, 0.65722171)","(40, 0, 0.63990302)","(51, 0, 0.60065898)","(93, 0, 0.63180728)","(241, 0, 0.59032778)","(198, 0, 0.64366634)"
8,"(177, 0, 0.65547739)","(90, 0, 0.65691081)","(99, 0, 0.56779236)","(231, 0, 0.66137176)","(113, 0, 0.604628)","(64, 0, 0.65683127)","(74, 0, 0.62667774)","(115, 0, 0.63536134)","(56, 0, 0.57066882)","(100, 0, 0.61787894)","(162, 0, 0.65497511)","(18, 0, 0.63827116)","(50, 0, 0.59862037)","(62, 0, 0.62853426)","(239, 0, 0.58508694)","(255, 0, 0.64296828)"
