,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
PGE=,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
0,"(43, 0, 0.8375882)","(126, 0, 0.83496399)","(21, 0, 0.87778319)","(22, 0, 0.85879075)","(40, 0, 0.92459545)","(174, 0, 0.90169708)","(210, 0, 0.83706965)","(166, 0, 0.82608578)","(171, 0, 0.80498206)","(247, 0, 0.87260019)","(21, 0, 0.94108497)","(136, 0, 0.85995053)","(8, 0, 0.84496033)","(207, 0, 0.84247289)","(78, 0, 0.85704313)","(60, 0, 0.83220389)"
1,"(67, 0, 0.81674242)","(127, 0, 0.80666739)","(20, 0, 0.79429029)","(181, 0, 0.78671231)","(41, 0, 0.82474433)","(175, 0, 0.77637198)","(211, 0, 0.78514425)","(167, 0, 0.81041816)","(170, 0, 0.79381743)","(199, 0, 0.78421255)","(20, 0, 0.73838645)","(137, 0, 0.8229232)","(9, 0, 0.80018306)","(206, 0, 0.77050751)","(79, 0, 0.82999821)","(61, 0, 0.82892747)"
2,"(42, 0, 0.79487175)","(39, 0, 0.78907728)","(162, 0, 0.67636666)","(23, 0, 0.77329834)","(95, 0, 0.72001946)","(61, 0, 0.72508253)","(33, 0, 0.74545232)","(156, 0, 0.72561646)","(22, 0, 0.67620828)","(246, 0, 0.77238705)","(98, 0, 0.73486976)","(175, 0, 0.7259674)","(81, 0, 0.7992722)","(150, 0, 0.71218777)","(116, 0, 0.73487095)","(34, 0, 0.75618888)"
3,"(102, 0, 0.77515764)","(124, 0, 0.76817748)","(200, 0, 0.6429248)","(144, 0, 0.74558526)","(174, 0, 0.71887998)","(55, 0, 0.72037564)","(72, 0, 0.7239648)","(121, 0, 0.7116317)","(0, 0, 0.67024641)","(156, 0, 0.76714155)","(77, 0, 0.67866629)","(64, 0, 0.71292494)","(143, 0, 0.79450785)","(108, 0, 0.68826954)","(57, 0, 0.72677901)","(128, 0, 0.74666825)"
4,"(253, 0, 0.7605575)","(9, 0, 0.71040144)","(98, 0, 0.64181363)","(97, 0, 0.72814999)","(139, 0, 0.69154036)","(244, 0, 0.71537948)","(74, 0, 0.72306414)","(62, 0, 0.69162329)","(180, 0, 0.65793492)","(128, 0, 0.7451227)","(141, 0, 0.67279436)","(5, 0, 0.71266057)","(126, 0, 0.78762266)","(131, 0, 0.68805751)","(126, 0, 0.72009083)","(101, 0, 0.72258983)"
5,"(73, 0, 0.75753152)","(236, 0, 0.69137916)","(214, 0, 0.63160206)","(180, 0, 0.72146921)","(74, 0, 0.69032362)","(157, 0, 0.70893386)","(208, 0, 0.71662228)","(207, 0, 0.68919347)","(223, 0, 0.6510885)","(159, 0, 0.7208172)","(145, 0, 0.67025086)","(252, 0, 0.712352)","(203, 0, 0.78611997)","(165, 0, 0.68634417)","(140, 0, 0.71441274)","(158, 0, 0.71913707)"
6,"(129, 0, 0.74834645)","(225, 0, 0.68814645)","(147, 0, 0.62761189)","(99, 0, 0.70541713)","(25, 0, 0.68478406)","(217, 0, 0.69900872)","(209, 0, 0.71491093)","(184, 0, 0.68910911)","(239, 0, 0.650553)","(121, 0, 0.71877391)","(214, 0, 0.65736763)","(255, 0, 0.69990401)","(50, 0, 0.77592559)","(244, 0, 0.66252873)","(98, 0, 0.70220414)","(225, 0, 0.71643623)"
7,"(216, 0, 0.7479999)","(169, 0, 0.68621008)","(99, 0, 0.60468797)","(20, 0, 0.69562662)","(218, 0, 0.68454196)","(54, 0, 0.69745347)","(115, 0, 0.70561205)","(209, 0, 0.67719461)","(152, 0, 0.64413043)","(196, 0, 0.7092371)","(140, 0, 0.6464774)","(113, 0, 0.68828102)","(37, 0, 0.77459113)","(166, 0, 0.66149031)","(141, 0, 0.68709385)","(87, 0, 0.71392974)"
8,"(93, 0, 0.73558399)","(38, 0, 0.68571581)","(140, 0, 0.60073278)","(79, 0, 0.69246539)","(54, 0, 0.6825464)","(42, 0, 0.69270742)","(165, 0, 0.69551995)","(93, 0, 0.66730979)","(200, 0, 0.63690248)","(209, 0, 0.69897438)","(194, 0, 0.62022417)","(41, 0, 0.67674267)","(56, 0, 0.74077324)","(73, 0, 0.65100889)","(23, 0, 0.68662281)","(74, 0, 0.70528297)"
