,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
PGE=,3,27,3,0,0,23,37,22,190,0,0,13,28,18,151,61
0,"(23, 0, 0.93427707)","(244, 0, 0.93138823)","(128, 0, 0.91164573)","(22, 0, 0.95247519)","(40, 0, 0.95664702)","(67, 0, 0.94497931)","(157, 0, 0.95156826)","(42, 0, 0.90650944)","(133, 0, 0.92008395)","(247, 0, 0.96332812)","(21, 0, 0.95553402)","(15, 0, 0.92165317)","(144, 0, 0.9)","(40, 0, 0.90628106)","(238, 0, 0.91029411)","(175, 0, 0.9357023)"
1,"(205, 0, 0.9186845)","(44, 0, 0.91786149)","(141, 0, 0.90009384)","(146, 0, 0.94136421)","(230, 0, 0.92456627)","(91, 0, 0.90524773)","(35, 0, 0.91974374)","(141, 0, 0.90597651)","(77, 0, 0.91989484)","(36, 0, 0.92751042)","(137, 0, 0.92512396)","(222, 0, 0.92004289)","(8, 0, 0.8998122)","(74, 0, 0.89121613)","(99, 0, 0.90240515)","(224, 0, 0.92287154)"
2,"(67, 0, 0.87809288)","(243, 0, 0.91424724)","(37, 0, 0.89732009)","(189, 0, 0.92496694)","(207, 0, 0.90987365)","(216, 0, 0.89173501)","(162, 0, 0.91243256)","(50, 0, 0.89266404)","(63, 0, 0.91786382)","(166, 0, 0.90090208)","(209, 0, 0.91703014)","(5, 0, 0.91067039)","(85, 0, 0.89593072)","(233, 0, 0.88943503)","(147, 0, 0.89471887)","(35, 0, 0.91897133)"
3,"(43, 0, 0.87693767)","(39, 0, 0.9037806)","(21, 0, 0.89115007)","(70, 0, 0.92135368)","(133, 0, 0.90328889)","(204, 0, 0.89084155)","(215, 0, 0.90959237)","(47, 0, 0.89118396)","(193, 0, 0.8909711)","(13, 0, 0.89792174)","(123, 0, 0.91602566)","(63, 0, 0.91046017)","(210, 0, 0.89141751)","(252, 0, 0.88640148)","(21, 0, 0.89099193)","(63, 0, 0.91197199)"
4,"(136, 0, 0.87291861)","(81, 0, 0.90188275)","(68, 0, 0.89024551)","(202, 0, 0.91527627)","(50, 0, 0.89949638)","(211, 0, 0.88601167)","(119, 0, 0.89681689)","(135, 0, 0.88638522)","(75, 0, 0.88727389)","(224, 0, 0.89191432)","(5, 0, 0.90005299)","(16, 0, 0.90685068)","(56, 0, 0.88451365)","(47, 0, 0.88110451)","(11, 0, 0.88818401)","(128, 0, 0.89899369)"
5,"(45, 0, 0.87084524)","(87, 0, 0.88915974)","(201, 0, 0.8899764)","(154, 0, 0.91515771)","(171, 0, 0.89150256)","(111, 0, 0.88522458)","(166, 0, 0.89477817)","(201, 0, 0.88407993)","(190, 0, 0.88584383)","(144, 0, 0.89017263)","(234, 0, 0.89377889)","(126, 0, 0.90511015)","(172, 0, 0.88394099)","(206, 0, 0.87827531)","(221, 0, 0.88494435)","(179, 0, 0.89803446)"
6,"(189, 0, 0.86640968)","(43, 0, 0.88830158)","(2, 0, 0.88474491)","(230, 0, 0.91483966)","(145, 0, 0.88979409)","(99, 0, 0.88505243)","(2, 0, 0.89322181)","(140, 0, 0.88002985)","(186, 0, 0.88511236)","(177, 0, 0.88512817)","(39, 0, 0.88822389)","(198, 0, 0.90143627)","(244, 0, 0.88144307)","(198, 0, 0.87785828)","(8, 0, 0.88486054)","(218, 0, 0.89671331)"
7,"(196, 0, 0.86546927)","(99, 0, 0.88787604)","(117, 0, 0.88360204)","(220, 0, 0.9003213)","(63, 0, 0.88573505)","(35, 0, 0.88328631)","(134, 0, 0.89205696)","(153, 0, 0.87421632)","(111, 0, 0.87807137)","(137, 0, 0.8810603)","(88, 0, 0.88498505)","(39, 0, 0.89811109)","(126, 0, 0.88070911)","(150, 0, 0.87721989)","(98, 0, 0.88353705)","(252, 0, 0.8945725)"
8,"(77, 0, 0.86186963)","(3, 0, 0.88736685)","(155, 0, 0.87501348)","(41, 0, 0.89996391)","(116, 0, 0.88110403)","(154, 0, 0.88263395)","(188, 0, 0.88721184)","(222, 0, 0.87097034)","(106, 0, 0.87778739)","(235, 0, 0.88059655)","(55, 0, 0.88472984)","(137, 0, 0.89530096)","(77, 0, 0.8806298)","(108, 0, 0.87326143)","(163, 0, 0.88199753)","(33, 0, 0.88862012)"
