,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
PGE=,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,"(43, 0, 0.85544498)","(126, 0, 0.81843622)","(21, 0, 0.84708056)","(22, 0, 0.73930233)","(40, 0, 0.86462639)","(174, 0, 0.86709826)","(210, 0, 0.73537129)","(166, 0, 0.82672642)","(171, 0, 0.66756614)","(247, 0, 0.85992789)","(21, 0, 0.92947423)","(136, 0, 0.84390118)","(9, 0, 0.63001339)","(207, 0, 0.78772423)","(79, 0, 0.75825636)","(60, 0, 0.82110472)"
1,"(42, 0, 0.62281521)","(127, 0, 0.62487143)","(20, 0, 0.60536905)","(23, 0, 0.60744998)","(41, 0, 0.63222354)","(175, 0, 0.60589587)","(211, 0, 0.64931712)","(167, 0, 0.64772301)","(170, 0, 0.60111536)","(246, 0, 0.66387285)","(20, 0, 0.65700694)","(137, 0, 0.65848072)","(8, 0, 0.61219534)","(206, 0, 0.63309816)","(78, 0, 0.62395422)","(61, 0, 0.66235459)"
2,"(196, 0, 0.24409165)","(52, 0, 0.26470571)","(224, 0, 0.27355288)","(189, 0, 0.24369345)","(221, 0, 0.24621271)","(45, 0, 0.30678775)","(80, 0, 0.28293322)","(36, 0, 0.30332085)","(41, 0, 0.26597624)","(3, 0, 0.28992397)","(224, 0, 0.26750934)","(125, 0, 0.26188296)","(31, 0, 0.23993593)","(58, 0, 0.24698124)","(204, 0, 0.24166006)","(191, 0, 0.29997134)"
3,"(11, 0, 0.24179437)","(75, 0, 0.23876929)","(3, 0, 0.23146076)","(37, 0, 0.24360263)","(5, 0, 0.24435951)","(155, 0, 0.24039906)","(207, 0, 0.24300926)","(221, 0, 0.24057858)","(40, 0, 0.24233727)","(2, 0, 0.27619902)","(90, 0, 0.21776169)","(46, 0, 0.23583713)","(60, 0, 0.2261962)","(244, 0, 0.23652242)","(205, 0, 0.23245964)","(15, 0, 0.25123695)"
4,"(30, 0, 0.23896283)","(139, 0, 0.23422678)","(42, 0, 0.22834412)","(31, 0, 0.23850067)","(143, 0, 0.22241535)","(44, 0, 0.2371939)","(105, 0, 0.2403707)","(173, 0, 0.23620406)","(91, 0, 0.19734383)","(116, 0, 0.27417353)","(141, 0, 0.21711512)","(77, 0, 0.22457279)","(171, 0, 0.22238326)","(77, 0, 0.23248242)","(244, 0, 0.23058273)","(3, 0, 0.240367)"
5,"(225, 0, 0.22976792)","(59, 0, 0.23379732)","(43, 0, 0.22497404)","(138, 0, 0.23674977)","(170, 0, 0.22118276)","(85, 0, 0.23094445)","(34, 0, 0.24035288)","(223, 0, 0.22445549)","(192, 0, 0.19680003)","(39, 0, 0.25756904)","(32, 0, 0.21609469)","(253, 0, 0.22360858)","(138, 0, 0.2207018)","(57, 0, 0.23234615)","(186, 0, 0.21822386)","(160, 0, 0.23224523)"
6,"(54, 0, 0.22743129)","(10, 0, 0.2329887)","(178, 0, 0.22354044)","(171, 0, 0.2270836)","(62, 0, 0.21959995)","(179, 0, 0.22483266)","(128, 0, 0.23885372)","(118, 0, 0.2237861)","(95, 0, 0.19491958)","(74, 0, 0.25024704)","(249, 0, 0.21577986)","(48, 0, 0.22194841)","(187, 0, 0.21668468)","(250, 0, 0.22473535)","(108, 0, 0.21331634)","(190, 0, 0.23179101)"
7,"(164, 0, 0.22065127)","(50, 0, 0.23121693)","(168, 0, 0.21960539)","(162, 0, 0.22694178)","(196, 0, 0.20872716)","(125, 0, 0.22475545)","(159, 0, 0.23648073)","(32, 0, 0.22019609)","(147, 0, 0.19370777)","(204, 0, 0.242028)","(151, 0, 0.21423878)","(135, 0, 0.21734959)","(204, 0, 0.21609808)","(105, 0, 0.22098941)","(112, 0, 0.2128538)","(42, 0, 0.22328689)"
8,"(47, 0, 0.21943364)","(65, 0, 0.22833046)","(124, 0, 0.21678089)","(148, 0, 0.22278928)","(82, 0, 0.20858113)","(229, 0, 0.2213863)","(151, 0, 0.23546257)","(227, 0, 0.21767264)","(132, 0, 0.18750673)","(196, 0, 0.24113077)","(195, 0, 0.21300512)","(110, 0, 0.2165056)","(34, 0, 0.21098441)","(198, 0, 0.22093862)","(180, 0, 0.20654432)","(73, 0, 0.2224553)"
