,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
PGE=,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,"(43, 0, 0.85305373)","(126, 0, 0.82150438)","(21, 0, 0.83757153)","(22, 0, 0.75561642)","(40, 0, 0.86776764)","(174, 0, 0.86330257)","(210, 0, 0.74400807)","(166, 0, 0.82977353)","(171, 0, 0.64566007)","(247, 0, 0.86686078)","(21, 0, 0.93074529)","(136, 0, 0.83937124)","(9, 0, 0.61391227)","(207, 0, 0.78530678)","(79, 0, 0.76762758)","(60, 0, 0.81562299)"
1,"(42, 0, 0.62462437)","(127, 0, 0.59996797)","(20, 0, 0.61686212)","(23, 0, 0.61095967)","(41, 0, 0.63474672)","(175, 0, 0.60571969)","(211, 0, 0.64979469)","(167, 0, 0.62132766)","(170, 0, 0.59498419)","(246, 0, 0.65230639)","(20, 0, 0.63029851)","(137, 0, 0.64546441)","(8, 0, 0.6067897)","(206, 0, 0.62357925)","(78, 0, 0.61417772)","(61, 0, 0.64643488)"
2,"(11, 0, 0.2517132)","(139, 0, 0.24181733)","(224, 0, 0.23123368)","(40, 0, 0.24066496)","(221, 0, 0.25904554)","(45, 0, 0.26323356)","(80, 0, 0.27713344)","(36, 0, 0.24151452)","(41, 0, 0.2683661)","(3, 0, 0.26626849)","(224, 0, 0.26468255)","(125, 0, 0.2721218)","(138, 0, 0.23091319)","(76, 0, 0.24093208)","(205, 0, 0.25567723)","(191, 0, 0.28457791)"
3,"(196, 0, 0.22783162)","(10, 0, 0.2403725)","(42, 0, 0.22774759)","(189, 0, 0.23896588)","(170, 0, 0.23480693)","(155, 0, 0.24393473)","(233, 0, 0.22929868)","(187, 0, 0.23572309)","(40, 0, 0.23085035)","(116, 0, 0.26418121)","(173, 0, 0.23115498)","(46, 0, 0.24776688)","(76, 0, 0.22289275)","(58, 0, 0.23601843)","(204, 0, 0.24110607)","(15, 0, 0.23004038)"
4,"(61, 0, 0.22207974)","(52, 0, 0.23957907)","(43, 0, 0.22171068)","(171, 0, 0.23800278)","(3, 0, 0.21611037)","(179, 0, 0.23005531)","(34, 0, 0.21945814)","(118, 0, 0.22741415)","(12, 0, 0.1905133)","(2, 0, 0.23567223)","(151, 0, 0.22330057)","(20, 0, 0.22101427)","(229, 0, 0.2097876)","(250, 0, 0.23048503)","(186, 0, 0.218205)","(190, 0, 0.22846584)"
5,"(30, 0, 0.21927411)","(252, 0, 0.22444256)","(225, 0, 0.21901102)","(31, 0, 0.22667753)","(5, 0, 0.21249744)","(239, 0, 0.22347569)","(241, 0, 0.21617404)","(152, 0, 0.22301976)","(211, 0, 0.18994861)","(39, 0, 0.22905865)","(200, 0, 0.20810561)","(66, 0, 0.21246561)","(177, 0, 0.20491806)","(77, 0, 0.22508468)","(112, 0, 0.20892555)","(3, 0, 0.22820566)"
6,"(47, 0, 0.21372433)","(51, 0, 0.2237641)","(168, 0, 0.20589071)","(42, 0, 0.21854464)","(143, 0, 0.20910874)","(85, 0, 0.22050972)","(217, 0, 0.21509162)","(130, 0, 0.21518643)","(132, 0, 0.18797593)","(51, 0, 0.22610889)","(209, 0, 0.20346593)","(48, 0, 0.20977019)","(171, 0, 0.20333674)","(104, 0, 0.22324722)","(110, 0, 0.2052251)","(103, 0, 0.22337862)"
7,"(164, 0, 0.21294244)","(59, 0, 0.21955014)","(30, 0, 0.20268815)","(96, 0, 0.2164101)","(183, 0, 0.20394775)","(252, 0, 0.21746309)","(159, 0, 0.21495723)","(32, 0, 0.21215757)","(55, 0, 0.18690071)","(74, 0, 0.22584555)","(150, 0, 0.20094673)","(253, 0, 0.20968085)","(4, 0, 0.19121579)","(244, 0, 0.22064704)","(125, 0, 0.20457497)","(160, 0, 0.21822137)"
8,"(246, 0, 0.21089568)","(65, 0, 0.21541598)","(197, 0, 0.20124537)","(227, 0, 0.21263483)","(184, 0, 0.19838111)","(22, 0, 0.21570391)","(39, 0, 0.21472661)","(70, 0, 0.20666601)","(173, 0, 0.18626145)","(196, 0, 0.22381355)","(250, 0, 0.19946102)","(38, 0, 0.20837256)","(50, 0, 0.18938891)","(114, 0, 0.20487148)","(160, 0, 0.20004578)","(7, 0, 0.21549494)"
