,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
PGE=,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,"(43, 0, 0.86698538)","(126, 0, 0.83886426)","(21, 0, 0.83644074)","(22, 0, 0.74963044)","(40, 0, 0.85778755)","(174, 0, 0.86580291)","(210, 0, 0.74298164)","(166, 0, 0.81355564)","(171, 0, 0.65221588)","(247, 0, 0.85863526)","(21, 0, 0.92959945)","(136, 0, 0.84466901)","(9, 0, 0.64497984)","(207, 0, 0.78510443)","(79, 0, 0.75465608)","(60, 0, 0.82731229)"
1,"(42, 0, 0.64091127)","(127, 0, 0.62885638)","(20, 0, 0.60947962)","(23, 0, 0.59163991)","(41, 0, 0.65057623)","(175, 0, 0.61127014)","(211, 0, 0.63188446)","(167, 0, 0.6420906)","(170, 0, 0.5885161)","(246, 0, 0.65491495)","(20, 0, 0.67194905)","(137, 0, 0.65221774)","(8, 0, 0.61627653)","(206, 0, 0.61692116)","(78, 0, 0.60150053)","(61, 0, 0.66210761)"
2,"(196, 0, 0.26721261)","(52, 0, 0.29168138)","(224, 0, 0.30669557)","(171, 0, 0.2693085)","(180, 0, 0.26111656)","(45, 0, 0.32023739)","(80, 0, 0.29269763)","(36, 0, 0.30301555)","(40, 0, 0.25733049)","(3, 0, 0.28893035)","(224, 0, 0.25934858)","(125, 0, 0.27055198)","(31, 0, 0.25713885)","(58, 0, 0.24305106)","(204, 0, 0.27287308)","(191, 0, 0.30008247)"
3,"(30, 0, 0.25175256)","(75, 0, 0.25808606)","(225, 0, 0.27642519)","(138, 0, 0.26051246)","(83, 0, 0.25989532)","(179, 0, 0.28512187)","(105, 0, 0.25629466)","(43, 0, 0.25678503)","(174, 0, 0.22627563)","(116, 0, 0.2822528)","(32, 0, 0.24713909)","(135, 0, 0.24779264)","(211, 0, 0.24738629)","(61, 0, 0.23838601)","(244, 0, 0.26365877)","(163, 0, 0.26321827)"
4,"(54, 0, 0.25023291)","(252, 0, 0.25139379)","(43, 0, 0.26580894)","(189, 0, 0.25735716)","(225, 0, 0.25845087)","(155, 0, 0.27052881)","(217, 0, 0.2543958)","(158, 0, 0.25134486)","(192, 0, 0.22147654)","(74, 0, 0.27044906)","(83, 0, 0.24126968)","(116, 0, 0.23560328)","(125, 0, 0.24122664)","(219, 0, 0.23376006)","(108, 0, 0.24491279)","(73, 0, 0.26286359)"
5,"(225, 0, 0.23312411)","(43, 0, 0.25027545)","(231, 0, 0.25437752)","(177, 0, 0.25525448)","(143, 0, 0.24148523)","(36, 0, 0.26391951)","(128, 0, 0.25348637)","(32, 0, 0.24919114)","(253, 0, 0.21992672)","(39, 0, 0.26437466)","(103, 0, 0.23781087)","(48, 0, 0.23126506)","(4, 0, 0.23260538)","(198, 0, 0.23189502)","(186, 0, 0.23977014)","(160, 0, 0.25774837)"
6,"(21, 0, 0.22738242)","(120, 0, 0.24971087)","(197, 0, 0.24467876)","(55, 0, 0.25420791)","(177, 0, 0.233488)","(17, 0, 0.25683882)","(39, 0, 0.24805808)","(153, 0, 0.24507976)","(247, 0, 0.21747074)","(37, 0, 0.26314088)","(79, 0, 0.23484869)","(77, 0, 0.2299763)","(204, 0, 0.23210143)","(163, 0, 0.23114648)","(213, 0, 0.23352742)","(15, 0, 0.25197789)"
7,"(169, 0, 0.22689905)","(10, 0, 0.24448794)","(168, 0, 0.23917211)","(96, 0, 0.24183594)","(5, 0, 0.23247059)","(44, 0, 0.24477995)","(207, 0, 0.24057038)","(173, 0, 0.24202971)","(41, 0, 0.21740374)","(215, 0, 0.24920301)","(179, 0, 0.23009972)","(58, 0, 0.22709586)","(34, 0, 0.22977487)","(20, 0, 0.22957093)","(205, 0, 0.23167395)","(214, 0, 0.24581334)"
8,"(219, 0, 0.22597042)","(65, 0, 0.24240721)","(56, 0, 0.23695379)","(40, 0, 0.24149134)","(7, 0, 0.23023823)","(69, 0, 0.23902934)","(34, 0, 0.23724824)","(221, 0, 0.24000126)","(89, 0, 0.21404707)","(2, 0, 0.24508884)","(9, 0, 0.23009952)","(229, 0, 0.22224667)","(35, 0, 0.22343833)","(244, 0, 0.22866147)","(157, 0, 0.22765771)","(3, 0, 0.2428888)"
