,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
PGE=,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,"(43, 0, 0.86183035)","(126, 0, 0.80502358)","(21, 0, 0.80907874)","(22, 0, 0.76079327)","(40, 0, 0.85856711)","(174, 0, 0.86007532)","(210, 0, 0.75261961)","(166, 0, 0.8195105)","(171, 0, 0.40360927)","(247, 0, 0.87677722)","(21, 0, 0.92804663)","(136, 0, 0.8337604)","(8, 0, 0.38376476)","(207, 0, 0.8099005)","(79, 0, 0.78030409)","(60, 0, 0.80063537)"
1,"(26, 0, 0.75798947)","(191, 0, 0.7115566)","(36, 0, 0.71318452)","(43, 0, 0.66854161)","(25, 0, 0.75548491)","(147, 0, 0.74848749)","(254, 0, 0.66641473)","(138, 0, 0.71580264)","(106, 0, 0.38779428)","(219, 0, 0.769884)","(25, 0, 0.81366277)","(73, 0, 0.73662128)","(9, 0, 0.35853504)","(254, 0, 0.71007185)","(99, 0, 0.69083826)","(48, 0, 0.7106986)"
2,"(5, 0, 0.75708641)","(80, 0, 0.70307676)","(55, 0, 0.70245998)","(56, 0, 0.66767898)","(21, 0, 0.74884517)","(162, 0, 0.74738902)","(83, 0, 0.66195022)","(234, 0, 0.70216319)","(68, 0, 0.37730008)","(7, 0, 0.76647489)","(212, 0, 0.81166317)","(164, 0, 0.73415053)","(200, 0, 0.3439457)","(14, 0, 0.70697554)","(206, 0, 0.6852275)","(50, 0, 0.70860042)"
3,"(7, 0, 0.75212332)","(82, 0, 0.69814564)","(59, 0, 0.70044401)","(215, 0, 0.66767076)","(4, 0, 0.74610456)","(128, 0, 0.74384362)","(19, 0, 0.66191964)","(132, 0, 0.70089841)","(133, 0, 0.3770481)","(198, 0, 0.76324814)","(59, 0, 0.8112559)","(166, 0, 0.73209655)","(230, 0, 0.33840287)","(225, 0, 0.7035533)","(109, 0, 0.68138101)","(1, 0, 0.70720693)"
4,"(136, 0, 0.75067182)","(92, 0, 0.69471672)","(25, 0, 0.6998889)","(170, 0, 0.66195056)","(148, 0, 0.74396041)","(159, 0, 0.74124095)","(158, 0, 0.65796303)","(151, 0, 0.70008967)","(235, 0, 0.37672209)","(251, 0, 0.76274709)","(57, 0, 0.81124508)","(52, 0, 0.73020415)","(155, 0, 0.33634229)","(227, 0, 0.69668391)","(238, 0, 0.68071662)","(16, 0, 0.70594064)"
5,"(151, 0, 0.74840004)","(221, 0, 0.69344923)","(148, 0, 0.6980984)","(52, 0, 0.65891383)","(100, 0, 0.74391103)","(130, 0, 0.7381096)","(220, 0, 0.65582063)","(86, 0, 0.69814378)","(57, 0, 0.37166785)","(217, 0, 0.76229355)","(182, 0, 0.80976956)","(132, 0, 0.72984059)","(196, 0, 0.3355041)","(237, 0, 0.69531737)","(142, 0, 0.67588352)","(30, 0, 0.70495556)"
6,"(234, 0, 0.74780921)","(189, 0, 0.69288493)","(57, 0, 0.69805038)","(134, 0, 0.65875908)","(216, 0, 0.74208863)","(67, 0, 0.73648261)","(115, 0, 0.65537384)","(103, 0, 0.6964601)","(169, 0, 0.37134505)","(86, 0, 0.76142291)","(36, 0, 0.80962204)","(9, 0, 0.72884036)","(181, 0, 0.33024736)","(115, 0, 0.69444886)","(65, 0, 0.67447983)","(112, 0, 0.69899664)"
7,"(22, 0, 0.74763208)","(147, 0, 0.69223264)","(212, 0, 0.69690095)","(39, 0, 0.65630234)","(36, 0, 0.74142605)","(140, 0, 0.73516316)","(252, 0, 0.65450638)","(26, 0, 0.69583211)","(42, 0, 0.37020775)","(75, 0, 0.7613659)","(40, 0, 0.80779384)","(170, 0, 0.72756)","(11, 0, 0.32835289)","(195, 0, 0.6943755)","(114, 0, 0.67366922)","(162, 0, 0.69862105)"
8,"(39, 0, 0.74735583)","(114, 0, 0.6921732)","(40, 0, 0.69663452)","(151, 0, 0.65474549)","(233, 0, 0.74068821)","(111, 0, 0.73456043)","(110, 0, 0.65357656)","(168, 0, 0.69496871)","(23, 0, 0.36838495)","(54, 0, 0.76045656)","(55, 0, 0.80547359)","(101, 0, 0.72667234)","(39, 0, 0.32151249)","(110, 0, 0.69155757)","(30, 0, 0.67260319)","(253, 0, 0.69834374)"
