,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
PGE=,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,"(43, 0, 0.86529557)","(126, 0, 0.80738663)","(21, 0, 0.80854174)","(22, 0, 0.75148932)","(40, 0, 0.85974973)","(174, 0, 0.85741224)","(210, 0, 0.74383549)","(166, 0, 0.82002485)","(171, 0, 0.40427282)","(247, 0, 0.87357319)","(21, 0, 0.92859705)","(136, 0, 0.83608811)","(8, 0, 0.39825459)","(207, 0, 0.81183862)","(79, 0, 0.78127627)","(60, 0, 0.80403145)"
1,"(26, 0, 0.76058876)","(191, 0, 0.7126016)","(36, 0, 0.71639302)","(215, 0, 0.67243573)","(25, 0, 0.75575273)","(147, 0, 0.74826851)","(254, 0, 0.65681415)","(138, 0, 0.72083925)","(106, 0, 0.38857419)","(219, 0, 0.76626236)","(25, 0, 0.8150624)","(166, 0, 0.74166945)","(9, 0, 0.36511928)","(254, 0, 0.70884013)","(99, 0, 0.69175488)","(1, 0, 0.71136681)"
2,"(5, 0, 0.75916807)","(80, 0, 0.6997393)","(40, 0, 0.70413335)","(43, 0, 0.66330082)","(21, 0, 0.75142062)","(128, 0, 0.74327298)","(83, 0, 0.65541905)","(132, 0, 0.70656687)","(57, 0, 0.38129772)","(217, 0, 0.76198078)","(182, 0, 0.81287587)","(73, 0, 0.73998051)","(200, 0, 0.3446271)","(225, 0, 0.70516651)","(206, 0, 0.68794317)","(48, 0, 0.70887357)"
3,"(7, 0, 0.75640537)","(82, 0, 0.69435187)","(25, 0, 0.70353941)","(39, 0, 0.66122447)","(4, 0, 0.74688649)","(162, 0, 0.74257539)","(19, 0, 0.65427706)","(103, 0, 0.7016698)","(133, 0, 0.37907373)","(75, 0, 0.76179826)","(212, 0, 0.81171992)","(170, 0, 0.73790799)","(196, 0, 0.34409769)","(14, 0, 0.70420559)","(109, 0, 0.67791375)","(50, 0, 0.70763926)"
4,"(151, 0, 0.75527682)","(189, 0, 0.69211443)","(55, 0, 0.70216549)","(56, 0, 0.65762519)","(148, 0, 0.7452829)","(159, 0, 0.73873284)","(158, 0, 0.64870456)","(86, 0, 0.70135339)","(235, 0, 0.37871701)","(7, 0, 0.76154426)","(36, 0, 0.81087393)","(164, 0, 0.73755301)","(155, 0, 0.34366975)","(195, 0, 0.69484093)","(238, 0, 0.67656943)","(30, 0, 0.70201733)"
5,"(136, 0, 0.75483995)","(92, 0, 0.69112358)","(148, 0, 0.70153377)","(170, 0, 0.6487074)","(100, 0, 0.74359201)","(67, 0, 0.73617594)","(34, 0, 0.64609555)","(151, 0, 0.70014282)","(246, 0, 0.37421852)","(251, 0, 0.75983941)","(59, 0, 0.81009565)","(52, 0, 0.73739971)","(181, 0, 0.33606243)","(227, 0, 0.69363317)","(142, 0, 0.67479683)","(112, 0, 0.70167428)"
6,"(234, 0, 0.75479458)","(147, 0, 0.68941622)","(59, 0, 0.70140401)","(20, 0, 0.64854772)","(36, 0, 0.74161952)","(111, 0, 0.73489301)","(220, 0, 0.64455806)","(234, 0, 0.69917814)","(68, 0, 0.37393062)","(187, 0, 0.758633)","(40, 0, 0.809051)","(9, 0, 0.73617788)","(230, 0, 0.33527405)","(110, 0, 0.69300344)","(114, 0, 0.66958879)","(253, 0, 0.69963633)"
7,"(22, 0, 0.7520081)","(221, 0, 0.68833638)","(212, 0, 0.70059585)","(151, 0, 0.6472109)","(233, 0, 0.74015408)","(15, 0, 0.73389014)","(115, 0, 0.64200832)","(75, 0, 0.6980421)","(23, 0, 0.37033326)","(198, 0, 0.75745415)","(57, 0, 0.80842821)","(101, 0, 0.73522818)","(73, 0, 0.32640916)","(108, 0, 0.6928879)","(65, 0, 0.66860627)","(16, 0, 0.69941008)"
8,"(230, 0, 0.75200008)","(211, 0, 0.68811703)","(57, 0, 0.69885771)","(86, 0, 0.64685883)","(216, 0, 0.73899687)","(140, 0, 0.73290106)","(131, 0, 0.64155178)","(168, 0, 0.6971501)","(169, 0, 0.37013846)","(213, 0, 0.75681697)","(55, 0, 0.80494114)","(132, 0, 0.73324963)","(84, 0, 0.32376941)","(237, 0, 0.69204344)","(3, 0, 0.66848727)","(189, 0, 0.69939825)"
