,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
PGE=,0,0,0,0,6,0,0,0,6,0,0,1,120,1,13,0
0,"(43, 0, 0.90458296)","(126, 0, 0.89013303)","(21, 0, 0.89952859)","(22, 0, 0.894574)","(235, 0, 0.89468569)","(174, 0, 0.88912798)","(210, 0, 0.95541577)","(166, 0, 0.93352848)","(55, 0, 0.83746091)","(247, 0, 0.91488173)","(21, 0, 0.94142879)","(233, 0, 0.87084515)","(129, 0, 0.88902716)","(202, 0, 0.86346209)","(247, 0, 0.88278232)","(60, 0, 0.8683783)"
1,"(221, 0, 0.8396555)","(162, 0, 0.86609518)","(220, 0, 0.85664351)","(6, 0, 0.86222917)","(207, 0, 0.87286441)","(184, 0, 0.87081293)","(112, 0, 0.84208739)","(56, 0, 0.85448898)","(212, 0, 0.83732875)","(216, 0, 0.89524043)","(254, 0, 0.85432721)","(136, 0, 0.84037779)","(115, 0, 0.83158337)","(207, 0, 0.86053607)","(114, 0, 0.87023628)","(233, 0, 0.83079769)"
2,"(223, 0, 0.83904245)","(132, 0, 0.84777694)","(185, 0, 0.84236043)","(148, 0, 0.85814767)","(108, 0, 0.870177)","(139, 0, 0.85010673)","(130, 0, 0.83537981)","(100, 0, 0.84349546)","(56, 0, 0.83693788)","(88, 0, 0.84980101)","(173, 0, 0.83967995)","(14, 0, 0.83823324)","(8, 0, 0.83099317)","(149, 0, 0.85872847)","(215, 0, 0.86923579)","(109, 0, 0.82420827)"
3,"(17, 0, 0.83060754)","(73, 0, 0.84380911)","(193, 0, 0.83680151)","(35, 0, 0.85721894)","(168, 0, 0.84286115)","(16, 0, 0.83424095)","(238, 0, 0.83311412)","(146, 0, 0.83265242)","(195, 0, 0.82803667)","(65, 0, 0.84973616)","(203, 0, 0.8349617)","(193, 0, 0.82395331)","(169, 0, 0.82778201)","(96, 0, 0.85041179)","(207, 0, 0.86664508)","(79, 0, 0.81855701)"
4,"(48, 0, 0.82590309)","(32, 0, 0.83426571)","(92, 0, 0.82287402)","(103, 0, 0.84881282)","(34, 0, 0.82186972)","(24, 0, 0.82904163)","(255, 0, 0.83115068)","(189, 0, 0.8272388)","(184, 0, 0.81600306)","(195, 0, 0.84682266)","(208, 0, 0.8189603)","(248, 0, 0.8181984)","(192, 0, 0.82704948)","(171, 0, 0.84753833)","(78, 0, 0.84781425)","(206, 0, 0.81714567)"
5,"(166, 0, 0.82554537)","(47, 0, 0.83237079)","(191, 0, 0.82228206)","(105, 0, 0.83594038)","(31, 0, 0.82148399)","(63, 0, 0.82722951)","(28, 0, 0.82442979)","(141, 0, 0.81983251)","(164, 0, 0.81339115)","(158, 0, 0.8454495)","(207, 0, 0.81357537)","(92, 0, 0.81744598)","(122, 0, 0.82255168)","(11, 0, 0.83739219)","(249, 0, 0.84653206)","(189, 0, 0.81564619)"
6,"(203, 0, 0.82386368)","(25, 0, 0.82780183)","(39, 0, 0.82082048)","(107, 0, 0.83548022)","(40, 0, 0.81783542)","(244, 0, 0.82054974)","(146, 0, 0.82162235)","(147, 0, 0.81246852)","(171, 0, 0.80980079)","(208, 0, 0.8399704)","(168, 0, 0.81255401)","(84, 0, 0.81660641)","(105, 0, 0.82086482)","(187, 0, 0.82200535)","(178, 0, 0.8458539)","(5, 0, 0.80674341)"
7,"(126, 0, 0.82282289)","(96, 0, 0.8269985)","(116, 0, 0.81282585)","(211, 0, 0.82531719)","(123, 0, 0.81261917)","(125, 0, 0.81143393)","(119, 0, 0.81563205)","(6, 0, 0.80695339)","(81, 0, 0.80958519)","(238, 0, 0.83293426)","(201, 0, 0.80998578)","(167, 0, 0.81501896)","(154, 0, 0.81768287)","(17, 0, 0.81784394)","(119, 0, 0.83979281)","(68, 0, 0.80390575)"
8,"(162, 0, 0.81990932)","(186, 0, 0.82087381)","(181, 0, 0.80808146)","(249, 0, 0.82474417)","(158, 0, 0.80255811)","(217, 0, 0.80873311)","(250, 0, 0.81259711)","(255, 0, 0.80244945)","(223, 0, 0.80870923)","(31, 0, 0.83101805)","(27, 0, 0.80875285)","(157, 0, 0.8114967)","(99, 0, 0.81089697)","(191, 0, 0.81752511)","(9, 0, 0.83802027)","(34, 0, 0.79979466)"
