,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
PGE=,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,"(43, 0, 0.85961784)","(126, 0, 0.8066157)","(21, 0, 0.82100586)","(22, 0, 0.77000296)","(40, 0, 0.8672223)","(174, 0, 0.85377369)","(210, 0, 0.75434274)","(166, 0, 0.81643624)","(171, 0, 0.61624415)","(247, 0, 0.87775718)","(21, 0, 0.92893854)","(136, 0, 0.83145948)","(8, 0, 0.62753459)","(207, 0, 0.8104034)","(79, 0, 0.77698161)","(60, 0, 0.80560719)"
1,"(42, 0, 0.60208892)","(127, 0, 0.61434879)","(20, 0, 0.61964289)","(23, 0, 0.61920415)","(41, 0, 0.59541984)","(175, 0, 0.61618091)","(211, 0, 0.62233401)","(167, 0, 0.61267243)","(170, 0, 0.60585372)","(246, 0, 0.61213577)","(20, 0, 0.61261972)","(137, 0, 0.61238109)","(9, 0, 0.59948617)","(206, 0, 0.6050626)","(78, 0, 0.62301626)","(61, 0, 0.61781937)"
2,"(116, 0, 0.21991603)","(141, 0, 0.20480834)","(75, 0, 0.20096139)","(73, 0, 0.23323506)","(119, 0, 0.21117608)","(240, 0, 0.22481245)","(141, 0, 0.22119655)","(249, 0, 0.21618496)","(244, 0, 0.22270916)","(169, 0, 0.22287751)","(74, 0, 0.22426804)","(214, 0, 0.21713167)","(86, 0, 0.20248617)","(144, 0, 0.22032506)","(17, 0, 0.20490752)","(98, 0, 0.22005612)"
3,"(117, 0, 0.20734458)","(33, 0, 0.19474008)","(74, 0, 0.19052415)","(72, 0, 0.19379128)","(118, 0, 0.19712942)","(241, 0, 0.21987819)","(140, 0, 0.22094553)","(198, 0, 0.19648938)","(245, 0, 0.1871917)","(131, 0, 0.2224771)","(75, 0, 0.21813285)","(219, 0, 0.20136469)","(105, 0, 0.18872385)","(145, 0, 0.20790658)","(16, 0, 0.20352606)","(99, 0, 0.20753092)"
4,"(178, 0, 0.19736844)","(10, 0, 0.19283851)","(164, 0, 0.18787407)","(98, 0, 0.19037823)","(249, 0, 0.19496934)","(31, 0, 0.19307711)","(99, 0, 0.20841049)","(22, 0, 0.18527989)","(202, 0, 0.18427312)","(168, 0, 0.20800304)","(185, 0, 0.19056041)","(41, 0, 0.19433691)","(87, 0, 0.18843261)","(30, 0, 0.20422723)","(96, 0, 0.19031749)","(141, 0, 0.18334131)"
5,"(126, 0, 0.19552182)","(175, 0, 0.19176818)","(97, 0, 0.17904574)","(199, 0, 0.18775903)","(13, 0, 0.19339254)","(219, 0, 0.18903465)","(218, 0, 0.20259661)","(23, 0, 0.18436511)","(196, 0, 0.17848752)","(4, 0, 0.19476838)","(230, 0, 0.18842948)","(233, 0, 0.19048721)","(168, 0, 0.17580061)","(126, 0, 0.17948729)","(24, 0, 0.18898583)","(24, 0, 0.18165531)"
6,"(94, 0, 0.18395934)","(48, 0, 0.19060479)","(117, 0, 0.17702074)","(223, 0, 0.17734814)","(73, 0, 0.18512946)","(218, 0, 0.18291359)","(124, 0, 0.19421568)","(98, 0, 0.18401466)","(27, 0, 0.17607211)","(71, 0, 0.19224289)","(49, 0, 0.18624607)","(198, 0, 0.18852894)","(184, 0, 0.17456903)","(156, 0, 0.17888656)","(46, 0, 0.18828905)","(73, 0, 0.18133979)"
7,"(155, 0, 0.17996274)","(32, 0, 0.18657064)","(246, 0, 0.17433912)","(69, 0, 0.17616002)","(82, 0, 0.18467115)","(124, 0, 0.17880349)","(166, 0, 0.18886315)","(211, 0, 0.18267641)","(198, 0, 0.17312726)","(181, 0, 0.18929205)","(165, 0, 0.1827701)","(25, 0, 0.1865231)","(124, 0, 0.17128361)","(98, 0, 0.17770303)","(254, 0, 0.18822245)","(223, 0, 0.17832044)"
8,"(58, 0, 0.17994569)","(165, 0, 0.18636927)","(180, 0, 0.17090604)","(6, 0, 0.17602823)","(39, 0, 0.18228648)","(167, 0, 0.17503275)","(33, 0, 0.18420218)","(111, 0, 0.18019007)","(95, 0, 0.1727547)","(38, 0, 0.18582943)","(70, 0, 0.18240848)","(152, 0, 0.17830929)","(211, 0, 0.17126988)","(187, 0, 0.17003701)","(253, 0, 0.18684695)","(140, 0, 0.17750197)"
