,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
PGE=,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,"(43, 0, 0.86028031)","(126, 0, 0.80700527)","(21, 0, 0.8205324)","(22, 0, 0.7686051)","(40, 0, 0.86586384)","(174, 0, 0.85320476)","(210, 0, 0.752232)","(166, 0, 0.81732921)","(171, 0, 0.6128066)","(247, 0, 0.87708485)","(21, 0, 0.92983299)","(136, 0, 0.83247183)","(8, 0, 0.62611676)","(207, 0, 0.81082367)","(79, 0, 0.77299266)","(60, 0, 0.80393621)"
1,"(42, 0, 0.60327415)","(127, 0, 0.6168016)","(20, 0, 0.62249896)","(23, 0, 0.61584416)","(41, 0, 0.60092598)","(175, 0, 0.62175443)","(211, 0, 0.62134654)","(167, 0, 0.60787157)","(170, 0, 0.6088621)","(246, 0, 0.61113643)","(20, 0, 0.61242948)","(137, 0, 0.61254524)","(9, 0, 0.59932454)","(206, 0, 0.60571928)","(78, 0, 0.62287682)","(61, 0, 0.61966243)"
2,"(116, 0, 0.22247865)","(141, 0, 0.20216247)","(75, 0, 0.2026517)","(73, 0, 0.21950427)","(119, 0, 0.2089754)","(240, 0, 0.22475251)","(141, 0, 0.21803359)","(249, 0, 0.21295155)","(244, 0, 0.21677755)","(169, 0, 0.22220224)","(74, 0, 0.2269014)","(214, 0, 0.22009596)","(86, 0, 0.19570722)","(144, 0, 0.21968326)","(16, 0, 0.20547552)","(99, 0, 0.21482289)"
3,"(117, 0, 0.20860867)","(33, 0, 0.19631674)","(164, 0, 0.18462056)","(72, 0, 0.1977308)","(118, 0, 0.20144358)","(241, 0, 0.21905897)","(140, 0, 0.21503033)","(198, 0, 0.19013512)","(245, 0, 0.1820568)","(131, 0, 0.22019671)","(75, 0, 0.21325666)","(219, 0, 0.20617872)","(87, 0, 0.18361949)","(145, 0, 0.20594523)","(17, 0, 0.1984292)","(98, 0, 0.21431266)"
4,"(126, 0, 0.19587186)","(111, 0, 0.18983462)","(74, 0, 0.18381998)","(199, 0, 0.19348785)","(13, 0, 0.19787184)","(219, 0, 0.18827227)","(99, 0, 0.206126)","(98, 0, 0.18425473)","(196, 0, 0.1810509)","(168, 0, 0.20266011)","(230, 0, 0.19291939)","(41, 0, 0.19826365)","(105, 0, 0.1808166)","(30, 0, 0.20100711)","(96, 0, 0.19772788)","(24, 0, 0.1878571)"
5,"(178, 0, 0.19448379)","(10, 0, 0.18911308)","(97, 0, 0.18061956)","(98, 0, 0.18862235)","(249, 0, 0.18552369)","(31, 0, 0.18527681)","(218, 0, 0.19807487)","(211, 0, 0.18405747)","(202, 0, 0.1783859)","(4, 0, 0.1899598)","(185, 0, 0.19136194)","(198, 0, 0.19288339)","(168, 0, 0.17179057)","(156, 0, 0.18078973)","(254, 0, 0.19465993)","(141, 0, 0.18346951)"
6,"(102, 0, 0.18171112)","(208, 0, 0.18778755)","(117, 0, 0.18008281)","(69, 0, 0.17871314)","(73, 0, 0.18439846)","(218, 0, 0.18018464)","(124, 0, 0.19698291)","(23, 0, 0.18164006)","(27, 0, 0.17434393)","(38, 0, 0.18528349)","(70, 0, 0.18804071)","(25, 0, 0.191971)","(184, 0, 0.17105983)","(126, 0, 0.17702674)","(253, 0, 0.18684625)","(147, 0, 0.17993519)"
7,"(226, 0, 0.1811799)","(165, 0, 0.18744406)","(246, 0, 0.17327395)","(167, 0, 0.17668889)","(82, 0, 0.1841917)","(124, 0, 0.17436306)","(33, 0, 0.18334157)","(111, 0, 0.18162021)","(10, 0, 0.17175804)","(181, 0, 0.1843573)","(116, 0, 0.18298057)","(233, 0, 0.19059515)","(74, 0, 0.17016734)","(98, 0, 0.17514093)","(24, 0, 0.18609196)","(73, 0, 0.17834109)"
8,"(74, 0, 0.17990607)","(175, 0, 0.18498209)","(180, 0, 0.17172948)","(223, 0, 0.1756839)","(203, 0, 0.17894039)","(167, 0, 0.17381802)","(156, 0, 0.1825896)","(22, 0, 0.18104004)","(95, 0, 0.16827344)","(248, 0, 0.18182222)","(36, 0, 0.1822958)","(215, 0, 0.18605181)","(124, 0, 0.16869711)","(174, 0, 0.16909088)","(28, 0, 0.18482507)","(145, 0, 0.17440205)"
