,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
PGE=,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,"(43, 0, 0.85629035)","(126, 0, 0.80430279)","(21, 0, 0.81230466)","(22, 0, 0.79518175)","(40, 0, 0.86514622)","(174, 0, 0.8563379)","(211, 0, 0.79520983)","(166, 0, 0.81411144)","(171, 0, 0.78620096)","(247, 0, 0.8657038)","(21, 0, 0.92685565)","(136, 0, 0.8309431)","(9, 0, 0.79601768)","(207, 0, 0.80680674)","(79, 0, 0.78405876)","(60, 0, 0.80757981)"
1,"(42, 0, 0.77963441)","(127, 0, 0.79828633)","(20, 0, 0.79289005)","(23, 0, 0.79237062)","(41, 0, 0.79018771)","(175, 0, 0.7929461)","(210, 0, 0.77396576)","(167, 0, 0.78954453)","(170, 0, 0.77902599)","(246, 0, 0.78645036)","(20, 0, 0.78242473)","(137, 0, 0.79474188)","(8, 0, 0.77697172)","(206, 0, 0.80069856)","(78, 0, 0.78381658)","(61, 0, 0.7976077)"
2,"(92, 0, 0.61632096)","(9, 0, 0.61785282)","(99, 0, 0.60641349)","(96, 0, 0.62547275)","(95, 0, 0.61447409)","(216, 0, 0.62236543)","(164, 0, 0.60977727)","(208, 0, 0.60532829)","(221, 0, 0.62314744)","(128, 0, 0.61117514)","(98, 0, 0.61459044)","(254, 0, 0.6227682)","(127, 0, 0.60556118)","(184, 0, 0.6089166)","(56, 0, 0.61369804)","(74, 0, 0.60719914)"
3,"(93, 0, 0.5965932)","(169, 0, 0.59297386)","(98, 0, 0.60269457)","(97, 0, 0.62275373)","(94, 0, 0.61304398)","(217, 0, 0.59481689)","(165, 0, 0.6083533)","(209, 0, 0.60413984)","(220, 0, 0.59644754)","(129, 0, 0.61015144)","(99, 0, 0.59777841)","(255, 0, 0.61388269)","(126, 0, 0.60064379)","(185, 0, 0.59954916)","(57, 0, 0.58957914)","(75, 0, 0.59159041)"
4,"(115, 0, 0.58158888)","(8, 0, 0.59249681)","(195, 0, 0.5776918)","(79, 0, 0.59709141)","(136, 0, 0.57123926)","(4, 0, 0.56631097)","(5, 0, 0.57909775)","(63, 0, 0.58001556)","(125, 0, 0.59325117)","(33, 0, 0.57923865)","(195, 0, 0.57643411)","(95, 0, 0.58592088)","(222, 0, 0.57844769)","(25, 0, 0.58275601)","(23, 0, 0.57991221)","(164, 0, 0.57939132)"
5,"(253, 0, 0.57711024)","(168, 0, 0.57483693)","(181, 0, 0.56989496)","(143, 0, 0.58593956)","(255, 0, 0.5670899)","(247, 0, 0.56484127)","(60, 0, 0.57429444)","(112, 0, 0.57605125)","(243, 0, 0.57727252)","(32, 0, 0.57296867)","(194, 0, 0.56585335)","(209, 0, 0.58318499)","(81, 0, 0.57713796)","(24, 0, 0.5718222)","(152, 0, 0.57938151)","(234, 0, 0.57905421)"
6,"(252, 0, 0.57339499)","(39, 0, 0.56504362)","(194, 0, 0.5675774)","(127, 0, 0.57247925)","(254, 0, 0.56318436)","(120, 0, 0.56405417)","(4, 0, 0.56834574)","(113, 0, 0.57482792)","(10, 0, 0.57275311)","(174, 0, 0.56374115)","(77, 0, 0.56164527)","(94, 0, 0.58028483)","(223, 0, 0.56596339)","(150, 0, 0.56502566)","(153, 0, 0.56753869)","(157, 0, 0.57555801)"
7,"(114, 0, 0.56908712)","(23, 0, 0.56359878)","(77, 0, 0.56738848)","(192, 0, 0.57042232)","(137, 0, 0.56156342)","(121, 0, 0.56023202)","(74, 0, 0.56524703)","(255, 0, 0.56825025)","(51, 0, 0.57045726)","(87, 0, 0.55920717)","(76, 0, 0.56029664)","(16, 0, 0.57130211)","(145, 0, 0.55862284)","(166, 0, 0.56239847)","(215, 0, 0.56143729)","(235, 0, 0.5721442)"
8,"(137, 0, 0.56031638)","(223, 0, 0.56161678)","(76, 0, 0.55594528)","(248, 0, 0.56993113)","(19, 0, 0.55999445)","(15, 0, 0.55256015)","(115, 0, 0.56036759)","(6, 0, 0.55730049)","(242, 0, 0.56877502)","(93, 0, 0.55691503)","(181, 0, 0.55697722)","(43, 0, 0.56797865)","(144, 0, 0.55560674)","(111, 0, 0.56165888)","(22, 0, 0.55700615)","(100, 0, 0.56876223)"
