,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
PGE=,149,43,90,50,30,13,55,106,18,91,2,26,84,107,20,91
0,"(160, 0, 0.98070544)","(205, 0, 0.97892179)","(123, 0, 0.97116409)","(93, 0, 0.98469269)","(115, 0, 0.98332753)","(158, 0, 0.97245983)","(74, 0, 0.97686206)","(241, 0, 0.97946714)","(213, 0, 0.98976955)","(205, 0, 0.98040618)","(20, 0, 0.97849378)","(131, 0, 0.98563434)","(210, 0, 0.98081564)","(66, 0, 0.98241135)","(205, 0, 0.98698209)","(132, 0, 0.96801206)"
1,"(131, 0, 0.97972708)","(239, 0, 0.97325991)","(72, 0, 0.97058178)","(108, 0, 0.97677167)","(229, 0, 0.97637462)","(164, 0, 0.96825703)","(97, 0, 0.97337925)","(30, 0, 0.97697766)","(225, 0, 0.9733171)","(111, 0, 0.97717174)","(96, 0, 0.96914163)","(165, 0, 0.9787519)","(107, 0, 0.9706493)","(135, 0, 0.9661443)","(2, 0, 0.98253022)","(115, 0, 0.96536209)"
2,"(225, 0, 0.97040983)","(197, 0, 0.97262767)","(46, 0, 0.96910498)","(110, 0, 0.97594878)","(242, 0, 0.97609042)","(43, 0, 0.96678107)","(118, 0, 0.97231084)","(64, 0, 0.9733423)","(86, 0, 0.97267242)","(18, 0, 0.97553365)","(21, 0, 0.96749742)","(44, 0, 0.97711118)","(14, 0, 0.96541703)","(4, 0, 0.96413224)","(58, 0, 0.96389774)","(89, 0, 0.95920081)"
3,"(109, 0, 0.96920861)","(80, 0, 0.97174128)","(210, 0, 0.96752806)","(37, 0, 0.97242233)","(159, 0, 0.97520435)","(156, 0, 0.96502898)","(11, 0, 0.96919288)","(23, 0, 0.97138059)","(238, 0, 0.96611771)","(198, 0, 0.97272391)","(114, 0, 0.96178417)","(32, 0, 0.97614535)","(58, 0, 0.96046333)","(112, 0, 0.96412497)","(134, 0, 0.96104846)","(225, 0, 0.95831485)"
4,"(184, 0, 0.96875)","(24, 0, 0.96954629)","(212, 0, 0.96677716)","(158, 0, 0.97003658)","(44, 0, 0.97119062)","(171, 0, 0.96303513)","(168, 0, 0.96912726)","(86, 0, 0.96838995)","(165, 0, 0.96400899)","(49, 0, 0.96825108)","(249, 0, 0.96099771)","(180, 0, 0.97164973)","(191, 0, 0.95975076)","(29, 0, 0.96389736)","(65, 0, 0.95807001)","(12, 0, 0.95776531)"
5,"(50, 0, 0.96803453)","(76, 0, 0.96527698)","(138, 0, 0.96611476)","(23, 0, 0.96913967)","(142, 0, 0.96723209)","(62, 0, 0.96172259)","(69, 0, 0.96905639)","(31, 0, 0.96806685)","(152, 0, 0.96092004)","(83, 0, 0.96531411)","(85, 0, 0.95980157)","(88, 0, 0.97112205)","(187, 0, 0.95652243)","(116, 0, 0.96258057)","(223, 0, 0.95548325)","(184, 0, 0.9575798)"
6,"(72, 0, 0.96656393)","(22, 0, 0.96398583)","(66, 0, 0.9614728)","(185, 0, 0.96897671)","(39, 0, 0.9640616)","(190, 0, 0.96131725)","(217, 0, 0.96801926)","(69, 0, 0.96401084)","(133, 0, 0.96074906)","(235, 0, 0.96251084)","(97, 0, 0.9595097)","(169, 0, 0.96778246)","(177, 0, 0.95623438)","(89, 0, 0.96250494)","(133, 0, 0.95523753)","(35, 0, 0.95746162)"
7,"(232, 0, 0.96648046)","(102, 0, 0.96305302)","(16, 0, 0.9614011)","(89, 0, 0.96883362)","(143, 0, 0.96393216)","(181, 0, 0.96087798)","(111, 0, 0.965474)","(130, 0, 0.9621657)","(10, 0, 0.96000145)","(138, 0, 0.96197188)","(107, 0, 0.95875502)","(98, 0, 0.96641278)","(57, 0, 0.95561651)","(249, 0, 0.96113476)","(124, 0, 0.95392723)","(29, 0, 0.95704615)"
8,"(238, 0, 0.96543525)","(199, 0, 0.95833687)","(152, 0, 0.96014322)","(233, 0, 0.96646959)","(135, 0, 0.96373203)","(119, 0, 0.95988838)","(234, 0, 0.95960446)","(171, 0, 0.95835831)","(151, 0, 0.9588002)","(154, 0, 0.95965747)","(149, 0, 0.95870938)","(181, 0, 0.96498818)","(250, 0, 0.9552009)","(91, 0, 0.96058996)","(158, 0, 0.95292115)","(42, 0, 0.95685806)"
