,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
PGE=,0,0,0,0,0,0,1,6,64,0,0,0,41,0,0,0
0,"(43, 0, 0.88843798)","(126, 0, 0.89777436)","(21, 0, 0.84220138)","(22, 0, 0.84689393)","(40, 0, 0.86411542)","(174, 0, 0.85731839)","(211, 0, 0.83917432)","(91, 0, 0.75706739)","(236, 0, 0.74718203)","(247, 0, 0.9137258)","(21, 0, 0.94490086)","(136, 0, 0.80530371)","(201, 0, 0.77543838)","(207, 0, 0.86236107)","(79, 0, 0.79740262)","(60, 0, 0.87392664)"
1,"(225, 0, 0.7403156)","(104, 0, 0.76094475)","(223, 0, 0.76308627)","(98, 0, 0.80607958)","(167, 0, 0.75477875)","(64, 0, 0.73384924)","(210, 0, 0.81441527)","(38, 0, 0.75539751)","(39, 0, 0.74536112)","(77, 0, 0.74877156)","(41, 0, 0.75747473)","(142, 0, 0.79521686)","(29, 0, 0.74271719)","(179, 0, 0.78564176)","(231, 0, 0.73467122)","(197, 0, 0.74805117)"
2,"(156, 0, 0.73326176)","(138, 0, 0.75735626)","(3, 0, 0.76109857)","(185, 0, 0.76981863)","(222, 0, 0.75052024)","(17, 0, 0.72204481)","(41, 0, 0.75489524)","(2, 0, 0.74000939)","(23, 0, 0.73311119)","(36, 0, 0.7242224)","(240, 0, 0.7374911)","(144, 0, 0.73569296)","(130, 0, 0.73044806)","(119, 0, 0.76811846)","(158, 0, 0.72734252)","(91, 0, 0.72547094)"
3,"(41, 0, 0.73051012)","(167, 0, 0.74708834)","(226, 0, 0.7330629)","(23, 0, 0.76768786)","(187, 0, 0.74679921)","(18, 0, 0.6948211)","(237, 0, 0.74850896)","(239, 0, 0.73802169)","(145, 0, 0.71884823)","(205, 0, 0.72070974)","(161, 0, 0.72141377)","(191, 0, 0.71312854)","(0, 0, 0.7263583)","(33, 0, 0.74310498)","(78, 0, 0.72028469)","(142, 0, 0.72444676)"
4,"(155, 0, 0.71381339)","(55, 0, 0.72635518)","(209, 0, 0.72593114)","(43, 0, 0.74422854)","(95, 0, 0.74308571)","(197, 0, 0.6938428)","(247, 0, 0.7291585)","(68, 0, 0.72625472)","(10, 0, 0.71420475)","(73, 0, 0.71156935)","(162, 0, 0.71956961)","(98, 0, 0.71178674)","(232, 0, 0.71385235)","(200, 0, 0.72332226)","(125, 0, 0.71935718)","(167, 0, 0.71834576)"
5,"(0, 0, 0.7043236)","(101, 0, 0.71399827)","(215, 0, 0.7075211)","(187, 0, 0.72927557)","(75, 0, 0.73761488)","(72, 0, 0.68936496)","(71, 0, 0.72864761)","(100, 0, 0.72236238)","(153, 0, 0.71116407)","(222, 0, 0.70736731)","(236, 0, 0.71936999)","(184, 0, 0.71156855)","(81, 0, 0.7091379)","(0, 0, 0.72267173)","(230, 0, 0.71916686)","(83, 0, 0.71128665)"
6,"(6, 0, 0.70341805)","(237, 0, 0.71135282)","(74, 0, 0.70258008)","(0, 0, 0.72912647)","(99, 0, 0.71716127)","(12, 0, 0.68798148)","(72, 0, 0.71702859)","(166, 0, 0.70959963)","(186, 0, 0.70317803)","(147, 0, 0.70638589)","(197, 0, 0.71376922)","(254, 0, 0.70423798)","(53, 0, 0.70860456)","(24, 0, 0.72132411)","(99, 0, 0.71057965)","(3, 0, 0.70597335)"
7,"(55, 0, 0.70325206)","(241, 0, 0.71012601)","(219, 0, 0.70032846)","(239, 0, 0.7146684)","(144, 0, 0.69460648)","(15, 0, 0.68699282)","(27, 0, 0.71487747)","(252, 0, 0.70943158)","(235, 0, 0.69914793)","(114, 0, 0.70457802)","(14, 0, 0.70774722)","(49, 0, 0.70265143)","(212, 0, 0.70288528)","(168, 0, 0.70847488)","(197, 0, 0.70043522)","(160, 0, 0.702029)"
8,"(118, 0, 0.69931333)","(76, 0, 0.70946598)","(127, 0, 0.69548634)","(220, 0, 0.70798811)","(137, 0, 0.69243476)","(220, 0, 0.68665589)","(250, 0, 0.70638941)","(232, 0, 0.70749102)","(207, 0, 0.69158546)","(72, 0, 0.7038573)","(70, 0, 0.70541599)","(11, 0, 0.69662961)","(200, 0, 0.702492)","(253, 0, 0.70485154)","(15, 0, 0.6992813)","(207, 0, 0.70124622)"
