,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
PGE=,0,0,0,0,0,0,1,3,124,0,0,0,7,0,0,0
0,"(43, 0, 0.88590132)","(126, 0, 0.90157941)","(21, 0, 0.81388519)","(22, 0, 0.82959615)","(40, 0, 0.84251467)","(174, 0, 0.8840374)","(211, 0, 0.78542068)","(100, 0, 0.74344134)","(39, 0, 0.71252189)","(247, 0, 0.9166443)","(21, 0, 0.93363003)","(136, 0, 0.7976345)","(81, 0, 0.7087151)","(207, 0, 0.87873331)","(79, 0, 0.80315397)","(60, 0, 0.87230684)"
1,"(156, 0, 0.7207337)","(227, 0, 0.69751997)","(226, 0, 0.74683845)","(98, 0, 0.77449642)","(222, 0, 0.75865165)","(17, 0, 0.70936719)","(210, 0, 0.72407184)","(2, 0, 0.72880919)","(163, 0, 0.70616561)","(114, 0, 0.72020536)","(240, 0, 0.72766644)","(108, 0, 0.70128567)","(130, 0, 0.70321398)","(179, 0, 0.73924469)","(158, 0, 0.72244046)","(167, 0, 0.69503029)"
2,"(42, 0, 0.71790042)","(167, 0, 0.69398038)","(223, 0, 0.74483475)","(23, 0, 0.74602003)","(187, 0, 0.7485608)","(212, 0, 0.69153301)","(27, 0, 0.70543697)","(253, 0, 0.72624365)","(8, 0, 0.68418812)","(36, 0, 0.70813596)","(136, 0, 0.69266552)","(144, 0, 0.70098385)","(7, 0, 0.69507811)","(149, 0, 0.7301419)","(15, 0, 0.71135472)","(229, 0, 0.68979543)"
3,"(215, 0, 0.68657311)","(104, 0, 0.69209411)","(215, 0, 0.68299453)","(187, 0, 0.73223119)","(210, 0, 0.69057703)","(120, 0, 0.68672136)","(237, 0, 0.70360672)","(166, 0, 0.72616859)","(34, 0, 0.67662054)","(149, 0, 0.69943153)","(232, 0, 0.69191115)","(184, 0, 0.6889309)","(134, 0, 0.68176865)","(166, 0, 0.68852345)","(78, 0, 0.69946055)","(197, 0, 0.67837539)"
4,"(110, 0, 0.67531058)","(101, 0, 0.69059459)","(254, 0, 0.68254744)","(185, 0, 0.71043763)","(0, 0, 0.68929257)","(21, 0, 0.66491895)","(220, 0, 0.68187112)","(232, 0, 0.72461254)","(185, 0, 0.67549903)","(2, 0, 0.69758309)","(41, 0, 0.66650697)","(15, 0, 0.67809238)","(155, 0, 0.67485001)","(168, 0, 0.68625767)","(172, 0, 0.69290164)","(91, 0, 0.67571668)"
5,"(178, 0, 0.66986154)","(187, 0, 0.68523837)","(201, 0, 0.68001795)","(43, 0, 0.70199691)","(95, 0, 0.68754594)","(189, 0, 0.65597736)","(45, 0, 0.6750353)","(222, 0, 0.70279314)","(23, 0, 0.66379067)","(23, 0, 0.69503441)","(123, 0, 0.66533967)","(5, 0, 0.6681332)","(13, 0, 0.66494463)","(163, 0, 0.67189581)","(231, 0, 0.68382087)","(169, 0, 0.66092973)"
6,"(155, 0, 0.66762094)","(49, 0, 0.68427059)","(92, 0, 0.67690557)","(64, 0, 0.69784398)","(195, 0, 0.67835593)","(216, 0, 0.65511721)","(247, 0, 0.66958872)","(231, 0, 0.69239005)","(153, 0, 0.66124017)","(77, 0, 0.68154157)","(161, 0, 0.66451917)","(191, 0, 0.66695414)","(200, 0, 0.66444499)","(104, 0, 0.67107297)","(121, 0, 0.67924666)","(232, 0, 0.65286163)"
7,"(147, 0, 0.65818804)","(67, 0, 0.67922456)","(209, 0, 0.67664774)","(153, 0, 0.69466278)","(35, 0, 0.67791825)","(83, 0, 0.65331443)","(39, 0, 0.66020635)","(239, 0, 0.68730524)","(236, 0, 0.65725978)","(219, 0, 0.67439853)","(14, 0, 0.660026)","(125, 0, 0.6632402)","(9, 0, 0.66068538)","(231, 0, 0.67007756)","(197, 0, 0.6756943)","(254, 0, 0.65194388)"
8,"(199, 0, 0.6545007)","(76, 0, 0.673591)","(194, 0, 0.67561538)","(243, 0, 0.69278737)","(144, 0, 0.67331974)","(37, 0, 0.65229639)","(99, 0, 0.65462107)","(147, 0, 0.68270052)","(138, 0, 0.6566765)","(210, 0, 0.67323114)","(217, 0, 0.65819155)","(122, 0, 0.66305062)","(232, 0, 0.66051391)","(120, 0, 0.65572757)","(34, 0, 0.66934924)","(90, 0, 0.65075421)"
