,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
PGE=,0,0,0,0,0,0,0,0,174,0,0,0,4,0,0,0
0,"(43, 0, 0.88298422)","(126, 0, 0.87506371)","(21, 0, 0.81365709)","(22, 0, 0.81230245)","(40, 0, 0.83687846)","(174, 0, 0.88426973)","(210, 0, 0.76237545)","(166, 0, 0.69126253)","(163, 0, 0.69790051)","(247, 0, 0.91501913)","(21, 0, 0.93181872)","(136, 0, 0.80738113)","(81, 0, 0.7425625)","(207, 0, 0.88111503)","(79, 0, 0.7927116)","(60, 0, 0.8882543)"
1,"(42, 0, 0.70679778)","(75, 0, 0.67718965)","(5, 0, 0.65565546)","(23, 0, 0.72601287)","(144, 0, 0.69009583)","(37, 0, 0.66526351)","(211, 0, 0.70673802)","(253, 0, 0.68827085)","(170, 0, 0.66887564)","(77, 0, 0.6874174)","(232, 0, 0.72110218)","(144, 0, 0.69776262)","(130, 0, 0.70189951)","(149, 0, 0.6957277)","(172, 0, 0.68455562)","(90, 0, 0.66519387)"
2,"(161, 0, 0.6667432)","(103, 0, 0.67437227)","(194, 0, 0.64422164)","(98, 0, 0.7182397)","(204, 0, 0.67950865)","(31, 0, 0.66420884)","(111, 0, 0.64783186)","(87, 0, 0.67783542)","(184, 0, 0.6562214)","(2, 0, 0.67602969)","(161, 0, 0.68319248)","(16, 0, 0.67559681)","(47, 0, 0.68460558)","(168, 0, 0.66472095)","(158, 0, 0.68328393)","(167, 0, 0.65301952)"
3,"(6, 0, 0.64117574)","(167, 0, 0.66085055)","(242, 0, 0.6410074)","(153, 0, 0.70921607)","(253, 0, 0.65785114)","(212, 0, 0.6572047)","(77, 0, 0.64489246)","(100, 0, 0.66985413)","(138, 0, 0.65345054)","(218, 0, 0.6475227)","(41, 0, 0.67184099)","(137, 0, 0.66685504)","(200, 0, 0.64878675)","(163, 0, 0.63458915)","(231, 0, 0.67077269)","(254, 0, 0.65246387)"
4,"(244, 0, 0.63573066)","(38, 0, 0.65766297)","(40, 0, 0.6353433)","(43, 0, 0.69844164)","(210, 0, 0.6547511)","(192, 0, 0.64076659)","(247, 0, 0.64063729)","(207, 0, 0.66918803)","(198, 0, 0.63971889)","(82, 0, 0.6473192)","(240, 0, 0.65489099)","(2, 0, 0.65327377)","(9, 0, 0.63456774)","(159, 0, 0.62521282)","(15, 0, 0.65987693)","(41, 0, 0.64591419)"
5,"(92, 0, 0.63210876)","(101, 0, 0.65200492)","(193, 0, 0.63142749)","(55, 0, 0.67320655)","(187, 0, 0.63948756)","(194, 0, 0.63516514)","(27, 0, 0.63948316)","(222, 0, 0.66547745)","(58, 0, 0.63557502)","(205, 0, 0.64673768)","(230, 0, 0.65178282)","(122, 0, 0.65266956)","(7, 0, 0.62896279)","(223, 0, 0.62462264)","(34, 0, 0.65674151)","(234, 0, 0.64061087)"
6,"(126, 0, 0.63085105)","(76, 0, 0.64601649)","(247, 0, 0.62455425)","(185, 0, 0.66946298)","(220, 0, 0.62837718)","(182, 0, 0.63092253)","(250, 0, 0.63948114)","(241, 0, 0.66279558)","(39, 0, 0.63544051)","(149, 0, 0.63968248)","(136, 0, 0.63244034)","(191, 0, 0.6480828)","(13, 0, 0.62733754)","(32, 0, 0.62123978)","(113, 0, 0.6373377)","(224, 0, 0.63708225)"
7,"(199, 0, 0.62262287)","(37, 0, 0.64003654)","(196, 0, 0.61523209)","(17, 0, 0.6647353)","(166, 0, 0.62596002)","(252, 0, 0.62616782)","(179, 0, 0.63721506)","(232, 0, 0.6621364)","(8, 0, 0.63226538)","(73, 0, 0.63401503)","(175, 0, 0.62250212)","(108, 0, 0.64602754)","(26, 0, 0.62674098)","(114, 0, 0.61620734)","(244, 0, 0.63280349)","(2, 0, 0.61992064)"
8,"(156, 0, 0.62241702)","(254, 0, 0.63614179)","(167, 0, 0.6133632)","(64, 0, 0.66173325)","(0, 0, 0.62366365)","(15, 0, 0.62552262)","(162, 0, 0.63597025)","(26, 0, 0.66115836)","(82, 0, 0.63163009)","(103, 0, 0.6274102)","(220, 0, 0.62105551)","(48, 0, 0.63045534)","(158, 0, 0.61673024)","(105, 0, 0.61544106)","(143, 0, 0.62839273)","(237, 0, 0.61452524)"
